orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
2125,"As far as immigration is concerned all Ukip want is a level playing field for non EU migrants and to control the numbers so, if anything, Ukip are too soft on immigration.",Co-author Peter Bone said such measures would win back voters from UKIP.,2,No Relation,D,0,0,1,0.5
1187,"UKIP are just another bunch of freeloaders, using peoples fears and prejudice to gain votes so that they can get their snouts into the trough.",In spite of the continuous talk of defections he is the closest they've come to someone who has a seat on the green leather benches at Westminster.,2,No Relation,D,0,0,1,0.25
3156,quite so well as christians themselves,the christian faith is a mockery to humankind,1,Support,D,0,1,0,0.75
1706,UKIP's proposals on membership in the EU and migrants are at best purely demagogic: they do not take into account facts and more general issues.,UKIP says it is campaigning on a pro democracy message - aiming to rejuvenate local politics.,0,Attack,D,1,0,0,0.75
1671,UKIP isn't committed exclusively to either right-wing or left-wing ideology and that’s a very good place to be.,He said his views were nothing to do with UKIP and were expressed before he became involved with the party.,2,No Relation,D,0,0,1,0.25
1599,UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,UKIP has evolved over the two decades since it was created from an anti-EU pressure group into a fully fledged party which has now proved that it can succeed beyond European elections.,1,Support,D,0,1,0,1.0
105,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,We cannot have any control over who comes to Britain while we are members of the EU.,0,Attack,D,0,0,1,0.5
874,A vote for UKIP would be a vote for a Tory-UKIP alliance that would be more right-wing than a Tory government.,UKIP says it is campaigning on a pro democracy message - aiming to rejuvenate local politics.,0,Attack,D,1,0,0,0.75
2028,UKIP language tends to portray the real experiences of UKIP people not the politically correct fantasy construct that too many people on here seem comfortable with.,But Mr Cameron dismissed UKIP's showing as a protest by voters and promised to stay true to his principles.,0,Attack,D,1,0,0,0.75
3229,no evolution has yet to proven,evolution has not ceased in any animal,0,Attack,D,1,0,0,1.0
3217,no but i do call into question the nature of your uncertainty,if what you say is true then nothing at all is scientific fact,0,Attack,D,0,1,0,1.0
2311,the proiders claim that id uses scientific method infers design by testing positive predictionsdiscovery institute on id uses scien,island statesyou pretend like the appearance doesnt beg a real scientific question because you are overreacting to your perceived motivation of idists but not because you are thinking like an honest scientist would,1,Support,D,1,0,0,0.75
162,"UKIP are just another bunch of freeloaders, using peoples fears and prejudice to gain votes so that they can get their snouts into the trough.","For a man with a pretty damaged back following his plane crash in 2010, with a pretty unhealthy beer-and-fags lifestyle, he has extraordinary energy.",2,No Relation,D,0,0,1,0.0
2566,its funny because i already named some provided resources to find them and yet you seemed to dodge the argument altogetherfollowed by the usual nonsense,not all this link was identified in my last reply    httpwww,0,Attack,D,0,1,0,0.75
2739,so tj you seem to have made quite a few foolish arguments how familiar are you with augustinetj  well i know that he believed the earth was created instantaneously not progressively and was according to scripture less than  years old,after some diversions to point out that augustine himself held some inconsistent positions tj finally comes to the quote i providedtji understand what he is saying but for this to be valid the unbeliever has to accurate in what he believes,0,Attack,D,0,1,0,0.75
2481,id has legal and educational merit because it is a bona fide scientific theory ,none of these promises have much relevance to id as a concept nor have few if any come to fruition,1,Support,D,1,0,0,0.5
1418,People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,"This is not a one-off result, this is a springboard and we will go on from here to fight a thousand council seats and contest in Scotland, Wales and Northern Ireland.",2,No Relation,D,0,0,1,0.0
726,UKIP are in with the City as much as the other three and I don't like the way they are whipping people up into a frenzy.,"He said the party would consider other measures including the legal route if it did not get redress from the council, which he said was continually backtracking.",2,No Relation,D,0,0,1,0.25
3456,i believe there has to be a god because i see no compelling evidence that life spontaneously generated from non living chemicals,argument from ignorance nevermind that marc is largely ignorant of chemistry too,0,Attack,D,1,0,0,1.0
1256,"Despite their best efforts at pretending otherwise, UKIP are still widely disliked and untrusted by the majority of the population.",His comments prompted a spoof version of Radio 4's Shipping Forecast to be posted on social media sites.,2,No Relation,D,0,0,1,0.0
2401,very well said,that reply was to allogic,1,Support,D,0,0,1,0.0
1232,"If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.","In his resignation statement, Lord Pearson said he was not much good at party politics and UKIP deserved a better politician to lead it.",2,No Relation,D,0,0,1,0.5
2518,id is ridiculously and obviously not   science   ,so are we asking if a telic force exists or are we trying to psychoanalyze the intentions behind itwhy are these two questions always independent  i would think that any theory of id that made no attempt to identify and analyze the designer was an incomplete theory,0,Attack,D,0,1,0,0.75
2327,naming two well known id proponents does not a citation make to support pvms twisted version of id arguments,seems highlander was somewhat quick in his response as i am more than willing to support my claims,0,Attack,D,0,0,1,0.0
4004, especially from a first time director,its too bad you couldnt finish because its a great movie,0,Attack,D,1,0,0,0.75
3747,among the best for sure,yes i agree on that,1,Support,D,0,1,0,0.75
1521,UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,He said he had warned the prime minister of repercussions of changes and told BBC Radio Berkshire that his daily prayers had convinced him the recent flooding was the consequence.,2,No Relation,D,0,0,1,0.0
565,I think a lot of UKIP supporters would be outraged if one of the consequences of leaving the EU was to price them out of buying virtually any of today's niceties.,"If you want to have a managed migration policy, you cannot remain a member of the European Union.",0,Attack,D,0,1,0,0.75
169,"Even a UKIP European candidate, Janice Atkinson, another ex-Tory, admits leaving the EU would be problematic.",But immigration has also been an issue and UKIP sees the EU question being at the heart of it.,0,Attack,D,1,0,0,0.75
