orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance,relevance human labeled
1968, can we get one thing straight, the simplest way to prove it is this,1,Support,B,0,1,,,
1228,yes jim we see objects on a daily basis that were not designed,im aware of that id christians give themselves a huge fudge factor by claiming that the fall of man somehow fouled up nonhuman nature,0,Attack,B,0,1,,,
2530,US intervention in Libya lacking congressional approval was illegal,The intervention was necessary in order to protect US interests in the region,0,Attack,B,1,0,,,
2344,when you are in your user profile and you select go to question it does not show the entire question tree,thank you for your feedback it will be fixed in the next update,1,Support,B,0,1,,,
1095,if biology leads to new design if it is viewed in that contextand it never has and never will,and it never has and never will,0,Attack,B,0,1,,,
93,A vote for UKIP is a vote to leave the EU and recover power over our national life.,"We do need a reformed relationship with Europe, and that's exactly what we're proposing.",1,Support,B,1,0,,,
81,"I and many others will be voting UKIP not because of a handful of people that have said stupid things, it will be because I identify and agree with their overarching principles.",UKIP leader Nigel Farage said he was pleased with the way pools were shaping up.,1,Support,B,0,1,,,
1783,i find it immensely amusing when christians require proof before theyll believe in something,i agree totally with what you said cerin,0,Attack,B,0,1,,,
1111,so we detect design by inferring that some parts appear to have been arranged for a purpose,in order to have purposefulness and intentionality you need selfawareness,1,Support,B,1,0,,,
2435,Bribery is sometimes acceptable,Bribery is sometimes the cost of doing business,1,Support,B,0,1,,,
499,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,"Deputy Prime Minister Nick Clegg, whose Liberal Democrats oppose a referendum, said leaving altogether would make us less safe because we co-operate in the European Union to go after criminal gangs that cross borders.",0,Attack,B,1,0,,,
1980, well evolution is by far the most logical idea i have heard about where man came from, scientists can present a great deal more evidence for evolution various fossils in chronological order clearly showing an evolving skeletal structure than a christian can present for intelligent design none,1,Support,B,0,1,,,
2639,this film is easily one of the best movies ive ever seen yes it is pretty easy to guess the ending but it still wasnt ruined by that fact it is a work of art it is rewatchable,agreed masterfully made unique and insanely intelligent film a true masterpiece of cinema,1,Support,B,0,1,,,
2002, there are plenty of examples of species evolving in present times, actually most leading scientists nowadays support evolution and of course its going to have massive holes in it thats what makes it a theory,1,Support,B,0,1,,,
73,"In fact, all UKIP seems to talk about now is withdrawl from the EU without any genuine policy around UK's domestic economy.","UKIP has reached unprecedented heights in the opinion polls under Mr Farage, prospering in May's local elections.",0,Attack,B,1,0,,,
600,Young people have the most to lose by the UK leaving the EU yet UKIP have the nerve to believe that their view should prevail.,"The UKIP leader also stated that the priority for Britain should be to have more united communities and better job prospects for young people, rather than the economic benefits that some believe immigration can bring.",0,Attack,B,1,0,,,
1913, just judging from the question obviously the op hasnt got even a high school understanding of what evolution is, first this topic has been on the site at least  times even as recently as a week or so ago and you should run a search before relaunching the same tired junk,1,Support,B,0,1,,,
