orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
2235,carefully think about this statement christianity is based upon the essential beliefs that god is allpowerful man is fallen and in need of redemption,well there is a little more to it than that but agreed,1,Support,A,0,,,
1531,um this thread is months old and no one is reading it,i know this sounds crazy but in a weird way im honored to get a response from you,0,Attack,A,0,,,
912, public opinion is unimportant to whether creationism belongs in science classes  public opinion does not determine whether creationism qualifies as science,proof why creationism should be taught in schools,0,Attack,A,1,,,
1360,bowmanmore on the aclus rubber stamped ruling by a practicing attorneynothing wrong with quoting from a well argued submission by the aclubowmanthat said none of this relates to the id ruling since the board members were not id advocates except perhaps superficially,nothing wrong with quoting from a well argued submission by the aclu,0,Attack,A,0,,,
1722,the young earth creationist dogma demands that the obvious features of the earths geology can not exist,you didnt read this  creation ex nihilo and the earth  did you,0,Attack,A,1,,,
106,"I voted Tory for 30 years and started supporting UKIP because I want a sovereign, democratic , well governed Britain with Britain put first and its getting clearer by the day that the old Liblabcon parties will not do that.","Former UKIP deputy leader David Campbell Bannerman defected to the Tories soon after, expressing concerns about the party's direction.",0,Attack,A,0,,,
1223,and again the design inference is based on our current knowledge that being we have an understanding of what nature operating freely is capable of and we couple that with our knowledge of what designing agencies are capable of,if we dont know then no one can say that a designer was not involved or not required,0,Attack,A,0,,,
1737,i wish my education in biology was better im reluctant to engage creationists on   evolution   because i just dont have the knowledge,  science   always wants to separate that messy first cell from   evolution   theory,0,Attack,A,0,,,
1709,mike my apologies to you but i am surprised at the numbers of people here who appear to be somewhat hostile towards the existence of a supreme being namely god yahweh yahwah yhwh the i am that i am and so forth,we have two different literal interpretations,0,Attack,A,0,,,
2487,The US should ban cluster bombs,Rejecting the Ban on Cluster Bombs Hurts the international image of the US,1,Support,A,1,,,
879,The success Ukip had in the european elections will be sufficient to galvanise one or preferably all the other parties to rid us of the EU's political influence.,I believe that what UKIP is doing is vital for this country.,1,Support,A,0,,,
396,"If you want an insight into just how mad and bad UKIP are, go and read what their members, candidates and supporters write on the Telegraph.",Marta Andreasen said Mr Farage had abjectly failed and should go.,1,Support,A,0,,,
1597,you havent made a point at all,and i understand that god knows every future event before it ever occurs,0,Attack,A,0,,,
2271,not london for sure,why not london has it all culture fun exhibitions parks what more do you want,0,Attack,A,1,,,
1175,jaythat means that anyone who dares speak of purpose or design within science or when discussing scientific evidence ceases to be a scientist,months later and i think we can agree pandas did not advocate religion,0,Attack,A,0,,,
298,"The momentum is definitely with UKIP at the moment, hopefully that will continue with the up and coming by-elections.","The UK Independence Party had its best ever local election night with a 14% share of the vote where they had candidates, although they have won few extra councillors.",1,Support,A,0,,,
2043, creation is fantasy and you cant prove a fantasy, it is only belief,1,Support,A,1,,,
126,"If you want an insight into just how disorganised UKIP are, go and read what their members, candidates and supporters write on the Telegraph.",The party's campaigning effort has become far more professional and well-funded in the past two years as a result.,0,Attack,A,1,,,
1662,it is unfortuanate that creationists cannot be persuaded by facts,kent hovind is where he belongs  both of his ministries creation science evangelism and his dinosaur theme park were forprofit organizations,1,Support,A,1,,,
13,The reason why UKIP has gained so many votes is because the main parties refuse to deal with immigration and the EU.,"It is doing the country serious damage because there are large numbers of potential investors in the UK who would bring employment here, who are being warned off because of the uncertainty all of this is creating.",0,Attack,A,1,,,
1623,some foolish men declare that a creator made the world,what is it with people like you  was the bible the first book you read and then you quit reading anything else can you defend your position without reference to the bible do you have any evidence yes evidence from another source that shows the bible is the word of god and not just a collection of books selected by the vatican to support a particular viewpoint why do you find it easier to believe in some all powerful supernatural creator that is eternal than a natural universe that is eternal is it possible to prove without reference to your book that god exists or does not exist  probably not,0,Attack,A,1,,,
2514,I believe that opinion polls harm the democratic process,Citizens have a fundamental right to vote on whatever the basis they choose,0,Attack,A,0,,,
222,"On voting day, this week the vast majority of the British public will not vote for UKIP.","At the 2010 general election,  support dwindled to 3.1% and UKIP did not win a Westminster seat.",1,Support,A,0,,,
655,"UKIP is not an isolated phenomenon: France has Le Pen, Germany has AfD, and all of these have in common that they are nationalist, anti-European, and more right than mainstream conservative parties.","Of course it is racist, the language, the rhetoric, the membership, who doubts it?",1,Support,A,1,,,
1867,ok,wow,1,Support,A,0,,,
64,The reason why UKIP has gained so many votes is because the main parties refuse to deal with immigration and the EU.,"Isolating Britain and damaging Britain's reputation is not the right history to write, he said.",0,Attack,A,1,,,
309,"The UKIP mainstay vote is in normal working people because they never voted for 4 million immigrants, they never voted for Multiculturalism.",But Labour is expected to claw back ground among working class folks in the Midlands and north of England lost in 2009 when it had the worst night at the polls in its history.,0,Attack,A,1,,,
19,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".","The Eurosceptic party is aiming to show broader appeal by capitalising on concerns over immigration, HS2 rail and wind farms.",0,Attack,A,1,,,
7,"I would say it's the anti-ukip brigade who have no substance to their argument (or facts), they simply shout ""racist"" with nothing to substantiate this slur, or become crude and insulting.","Mr Cameron once described UKIP as a party of fruitcakes, loonies and closet racists.",0,Attack,A,1,,,
2332,how about a second hand clothing fashion parade and sale,maybe you could have a cake sale,1,Support,A,0,,,
1077, and this site says it better than i could,should we just reject the bigbang as being unscientific since it would require a supernatural cause according to the nd premise you list is the best you can really come up with is who designed the designer,1,Support,A,1,,,
1333,ok you are right on this point as well,tjok you are right on this point as well,0,Attack,A,0,,,
2281,hybrid electric vehicle,cost will reduce with scale,0,Attack,A,0,,,
1648,many people claim that certain writings are the word of god,after the entire cain and able thing the brother left to another group of people to find a wife,1,Support,A,0,,,
2040, wrong  evolution is probably the most supported theory in biology  its withstood considerable scrutiny for the past  years and is as strong as ever, if your trying to find evidence in the bible your right,1,Support,A,1,,,
2204,is it possible that the rigidity of many evangelical churches is and what they expect of their members drives couples to divorce when one partner is not as on board as the other,i think you nailed it i also think that if you are willing to give up your relationship over religion you could be on the border of addiction not faith not you personally but rhetorically,1,Support,A,0,,,
876,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.","Despite the strong performances at the recent by-elections, it is true that Nigel Farage, in terms of electoral success, remains a political minnow.",0,Attack,A,1,,,
1534,heres some links to actual passages something nick failed to provide as requested,debates like this do nothing more but cause problems for people who are trying to pursue legitimate alternatives to neodarwinian theory,0,Attack,A,1,,,
588,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,"Nobody below the age of 60 has ever had a chance to have a say on this issue, he said.",1,Support,A,1,,,
1389,id explains the genetic code the same way we explain a computer code,joe gnow you are just lying,1,Support,A,1,,,
2587,movies should be fun entertaining this movie is not waste of my time ,art is supposed to probe dark subject matter most of the greatest films do just that,0,Attack,A,1,,,
2455,All nations have a right to nuclear weapons,Nuclear weapons give states valuable agendasetting power on the international stage,1,Support,A,0,,,
713,"UKIP will lead the UK to independence from the oppressive EU, which is the only chance Britain has at restoring its former glory.","Deputy Prime Minister Nick Clegg, whose Liberal Democrats oppose a referendum, said leaving altogether would make us less safe because we co-operate in the European Union to go after criminal gangs that cross borders.",0,Attack,A,1,,,
2384,paper and preferably yellow post it notes for important reminders in app lists tend to be forgotten about,paper is much better and allows you to make more personal notes,1,Support,A,0,,,
155,"I would say it's the anti-ukip brigade who have no substance to their argument (or facts), they simply shout ""racist"" with nothing to substantiate this slur, or become crude and insulting.","Former deputy leader David Campbell Bannerman defected to the Tories soon after, expressing concerns about UKIP's direction, drifting further to the right.",0,Attack,A,0,,,
1773,not stupid but ignorant and perhaps even foolish,i agree with your definition of ignorance but i feel that ignorance crosses into stupidity when those who are ignorant but have the means to inform themselves fail to do so,0,Attack,A,0,,,
2621,in my opinion full metal jacket was way better full metal jacket was at least fair i spoke to a lot of guys that told me thats the way it was,no platoon was the better movie,0,Attack,A,1,,,
88,"The sooner we are out of the EU, the sooner we can start making this country great again.","Isolating Britain and damaging Britain's reputation is not the right history to write, he said.",0,Attack,A,1,,,
1628,for the bible to be divinely inspired all the persons writing the bible or translating the bible had to be listening to god all the time,now the trick is to prove that all of the authors were free of stray thoughts and theological spin,1,Support,A,1,,,
2076,an example where both natural selection and mutations work together to enable a creature to survi have also results in a loss of genetic information consider that flightless bird in the galapagos islands,oh goody some more of your well informed opinion based on wishful thinking no research and even less actual thought,0,Attack,A,1,,,
1848,evolution has been basically proven,i think evolution is an actual truth since we are able to prove it and all,1,Support,A,0,,,
75,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,The anti-EU party also came second in the last European elections in 2009.,1,Support,A,0,,,
1342,tj again only valid if you trust judge jones and judge jones is really only the aclu in disguise because of how much he copied from them,tji dont believe the  similarity in the aclus submission and the judges analysis was a lucky or freak coincidence im illinformed because i think he copied it rightyou seem to be ill informed about both the extent as well as the relevance of this so called copying,0,Attack,A,1,,,
2236,sometimes the state of the education system in the usa makes me cry,sometimes the state of the public education system in the us is downright criminally neglectful,1,Support,A,0,,,
1416,the writer of this piece is working for a salary,idnetthe writer of this piece is working for a salary,0,Attack,A,0,,,
2547,We should force think tanks to reveal all of their sources for resource funding,Overregulating think tanks sets a dangerous precedent,0,Attack,A,1,,,
2432,European Parliament elections should involve only one voting district all of Europe and not separate country seats,Some countries may be left without representation,0,Attack,A,1,,,
2130,the no brainers gun nuts have a modicum of brain though enough to show them that without guns there can be no shootings,and without a limited lifespan there would be no death but we do not live in such a world so shut up and get onto a more relevant topic,0,Attack,A,0,,,
398,For what its worth I think UKIP is a one trick pony and is unelectable in a general election.,"But judging from recent opinion polls UKIP's wider policies - grammar schools, curbing immigration and opposing gay marriage - seem to have struck a chord with disenchanted voters from the big three.",0,Attack,A,1,,,
360,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"There are those, UKIP, thinking backwardly, saying we should turn our backs on the world and on our wider obligations, that we should cut ourselves off from influential organisations in the belief that we can go it alone.",1,Support,A,0,,,
1150,im not a cell expert but lets expand out to the human body,im not a cell expert either and understanding what behe wrote in his argument doesnt require it because he didnt say anything except cellular machinery is complex therefore it must be designed,0,Attack,A,0,,,
270,UKIP are asking the questions that haven't been asked by the opposition or the media.,"Europe had in the last few years become a huge issue due to the euro crisis and the bailouts, and UKIP was the only party addressing this problem head on.",1,Support,A,0,,,
1502,in other words the terms as defined clearly mirrored what we know as creationism and that it was an inherently religious concept,in pandas we read creation means that the various forms of life began abruptly through the agency of an intelligent creator with their distinctive features already intact,0,Attack,A,0,,,
33,"If you think that the Tories are nasty, heaven help us if UKIP get in because they would be nastier, more cruel, and more bigoted.","Ms Andreasen had been UKIP's sole remaining female MEP, after Nikki Sinclaire was expelled from the party in 2010, hinting what a terrible standing women have in the party.",1,Support,A,0,,,
1947, i am going to borrow from churchill, i believe evolution is correct and whats up with this lack of understanding that evolution is a sloooooooow process       with the making everything is  days and resting on the seventh  which conveniently happens to be a week,1,Support,A,0,,,
240,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".","Natalie Bennett spoke about UKIP polices for the Green Belt, Trident, defence the and economy, with Andrew Neil on the Daily Politics while campaigning in the West Midlands.",0,Attack,A,1,,,
