orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
436,The success Ukip had in the european elections will be sufficient to galvanise one or preferably all the other parties to rid us of the EU's political influence.,"UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",1,Support,A,0,,,
2594,i read the book which is subtle philosophical and nuanced at the beginning of the year and last night i watched the dvd of this film what utter rubbish the film is a boring sweary standard thriller,sadly yes it just became a standard thriller,1,Support,A,0,,,
2485,The US should ban cluster bombs,Cluster Bombs Cause Unacceptable Harm to Civilians,1,Support,A,0,,,
447,UKIP doesn't need to win power to force the changes people want.,But he said there were still major differences such as grammar schools and windmills dividing the Conservatives and UKIP as he spoke to Jo Coburn about talks of a pact suggested by Conservative MP Michael Fabricant.,1,Support,A,1,,,
2073,with all the debt obama has generated for our nation he deserves to be filibustered into the ground ,which planet in your parallel uni haverse did this happen on you should stick to topics on which you know something,0,Attack,A,1,,,
1526,you cant offer anymore than theory for one or the other,you cant offer anymore than theory for one or the other,0,Attack,A,0,,,
1778,first of all there have been writings in hebrew ,theres no point arguing against evolution when you dont understand it in the first place,0,Attack,A,1,,,
529,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,"Britain would prosper outside the EU, he argued, and talk of its losing trade was not credible.",1,Support,A,1,,,
74,I think it's far too simplistic to argue all UKIP supporters are racist - there is a real groundswell against the political establishment which over the past 20 years or so has started to converge in terms of image and policies.,Conservative voters instinctively know what the right thing is but unfortunately the Conservative Party doesn't so many dienchanted people ave been flocking to UKIP.,1,Support,A,0,,,
2319,usually the best city in every country is the capital so i would go for madrid ,i agree if you were to visit only one city in spain madrid would be it,1,Support,A,0,,,
400,"The momentum is definitely with UKIP at the moment, hopefully that will continue with the up and coming by-elections.","As predicted, UKIP repeated their recent by-election success and their candidate Richard Elvin came second with a 24% share of the vote.",1,Support,A,0,,,
458,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,"The voters have understood that EU membership is making us poorer and less democratic and less free, he said.",1,Support,A,0,,,
2423,European Parliament elections should involve only one voting district all of Europe and not separate country seats,One person one vote that will count in exactly the same way as everyone elses,1,Support,A,0,,,
525,"In UKIP, we have a new political force which looks likely to poll very well in a national election on thursday.","More people were considering voting for UKIP at a general election than ever before, he suggested, and this current poll surge was different from previous spikes in support which were linked to European elections.",1,Support,A,0,,,
409,Support for UKIP simply indicates that people have noticed that the major parties do not represent their interests.,"Our previous best-ever by-election result, a fortnight ago, was 14.3% and this one is comfortably over 20%, so, whichever way you look at it, UKIP is on the rise.",1,Support,A,0,,,
664,UKIP are the only party willing to have a sensible open debate on the key issues affecting the country. ,UKIP says it is campaigning on a pro democracy message - aiming to rejuvenate local politics.,1,Support,A,0,,,
1462,which i argue is the main reason people have come to embrace id and object to sciencecouldnt atheism be the main reason people have come to embrace a certain type of evolution and object to id  the emotions so commonly seen in the rejection of id support this,couldnt atheism be the main reason people have come to embrace a certain type of evolution and object to id the emotions so commonly seen in the rejection of id support this,0,Attack,A,0,,,
1314,the cause of the big bang is currently unknown but it is also undergoing investigation,the ayn rand center and i agree for once about the fact that id is nothing more than bait and switch and that id at best is a religiously motivated attack on science as the di seems to admit in their own wedge document,1,Support,A,1,,,
2109,it is up to you argue with me or argue with the person you want me to be,it is up to you stop bringing up red herrings or arguing by personal attack or do not expect me to treat your posts with any less contempt than i have for most of what has been posted to this board,0,Attack,A,1,,,
252,I suspect when people do start to focus and the election is close UKIPs incoherent policies will be exposed.,"Many of our members are those who have never been a member of any political party before but who see that it is UKIP who is challenging the establishment on issues such as open door immigration, grammar schools and green taxes, he said.",0,Attack,A,1,,,
2586,was anyone else disappointed by the ending of the movie it feels to me like there couldve been a few scenes about what happens next im no writer but i do feel this wasnt appealing at all,to me i was glad to see an ending leaving room for interpretation it was perfect not disrespecting to its viewers,0,Attack,A,1,,,
151,UKIP and the Greens are the only parties to date that haven't screwed us all over.,A poll showed that only 26% said the PM was in touch with the lives of ordinary voters.,1,Support,A,0,,,
2040, wrong  evolution is probably the most supported theory in biology  its withstood considerable scrutiny for the past  years and is as strong as ever, if your trying to find evidence in the bible your right,1,Support,A,1,,,
289,The success Ukip had in the european elections will be sufficient to galvanise one or preferably all the other parties to rid us of the EU's political influence.,"But UKIP has a mountain to climb compared with its larger rivals and still lacks the strength on the ground that the Lib Dems, Conservatives and Labour can command.",0,Attack,A,1,,,
1677,of all of aigs silliness i think this one is the winner,i believe that the day creation of the universe as we know it today has to be taken literally even though scripture does say that one day in the eyes of the heavenly father is like a thousand years,0,Attack,A,0,,,
1214,islandpvm sayslets see what we can track down via wikipedia which is always a good start for any researchnot where this subject is concerned,whats there left to do,1,Support,A,0,,,
2170,i do not seem to get the punchline maybe it is meant to be nonsensical,yes oddly the picture makes as much sense as most creationists ,1,Support,A,1,,,
1926, i do not believe that we evolved from monkeys or any other animal i believe that god created us in his own image, it is very wrong we didnt evolve from apes,1,Support,A,0,,,
1566,people tend to focus on the trees,i agree he didnt want to confuse us,0,Attack,A,0,,,
37,"On voting day, this week the vast majority of the British public will not vote for UKIP.",But Mr Farage admitted that on some policies his party may have got things wrong and this may hurt them at the polls.,1,Support,A,1,,,
2292,it is far too expensive,other phones are more expensive,0,Attack,A,0,,,
2169,they only need  of the legislature so they will probably get that but if it actually gets to the polls the conservatives took a big hit when they ran around screaming if gays get married society will collapse and we will all be doomed,this will be interesting i am keeping my fingers crossed,1,Support,A,0,,,
532,"UKIP is certainly NOT racist or xenophobic - if you, as I'm you have done, read our policies on the website there is no suggestion of this at all, it is more a rumour and conspiracy of the lefties. ","Of course it is racist, the language, the rhetoric, the membership, who doubts it?",0,Attack,A,1,,,
1180,fine,your intelligent cause is completely undefined,0,Attack,A,1,,,
2291,the iphone is the best smartphone,it is far too expensive,0,Attack,A,1,,,
1464,id may assert but as a science their contributions remain largely with content,id may assert but as a science their contributions remain largely with content,0,Attack,A,0,,,
1661,all of those socalled evidences have been debunked by real scientists with real degrees and have true understanding of science,it is unfortuanate that creationists cannot be persuaded by facts,1,Support,A,0,,,
1945, yes the theory of evolution is wrong it got popular when darwin wrote the book the origin of species but later on many scientists proved from several experiments that it is an incorrect theory, there is no scientist can give strong evidence to support evolution,0,Attack,A,1,,,
41,Ukip are doing well for the very simple reason folk have at last realized that they are being lied to by LibLabCon and now have somewhere else to go.,"An opposition party in the middle of a parliamentary term amid a deeply difficult economy should expect victories and plenty of them, but this is often meaningless.",0,Attack,A,0,,,
1815,contra the evolutionary theory which is the selection of the fittestis the antievolutionary theory which is the antiselection of the unfittest,charles darwin wrote about the theory of biological evolution not antievolution just because the word anti is in front of something it does not make it correct mate,0,Attack,A,1,,,
2492,Terrorism can sometimes be justified,Terrorism can bring attention,1,Support,A,0,,,
112,UKIP are asking the questions that haven't been asked by the opposition or the media.,But the PM has previously described the eurosceptic UKIP as containing loonies and closet racists.,0,Attack,A,1,,,
209,The only reason we are even having a sensible debate about Europe are UKIP.,"Isolating Britain and damaging Britain's reputation is not the right history to write, he said.",0,Attack,A,1,,,
107,"I sense that Farage is a total megalomaniac, a charlatan, someone who is in it for the attention and the glory and that in a strange way, that many UKIP voters know this but don't seem to mind.",There's an attitude that either you keep silent about everything that's been going on in UKIP and wit Farage or suffer the consequences.,1,Support,A,1,,,
339,The success Ukip had in the european elections will be sufficient to galvanise one or preferably all the other parties to rid us of the EU's political influence.,"It is doing the country serious damage because there are large numbers of potential investors in the UK who would bring employment here, who are being warned off because of the uncertainty all of this is creating.",0,Attack,A,1,,,
1252,it should readtruth is probably the best factor in determining intelligence and one cannot have it without gd,i think that is what is called a freudian slip,0,Attack,A,0,,,
1010,i find much more animosity spouted by the atheist,just as advances in genetic and protein research and mathematics are enabling us to understand and explain how evolution works a growing number of our society are rejecting science in favor of myth and fake science,1,Support,A,0,,,
388,For what its worth I think UKIP is a one trick pony and is unelectable in a general election.,"When a political party goes from being very small to being medium-sized or big, it's rather like growing up, Farage said, but we have expanded our policies far beyond the EU.",0,Attack,A,1,,,
2479,We should use torture to obtain information from suspected terrorists,In the event of an imminent attack it is only reasonable to use force to find information,1,Support,A,0,,,
2077,you need not be far left to support reasonable gun regulation,suckers bet i think so you antis are so damned scared of guns you do not havea clue of how to commit a murderous domestic terrorist act of that nature,0,Attack,A,1,,,
1721,the young earth creationist dogma demands that the obvious features of the earths geology can not exist,the young earth creationist dogma demands that the obvious features of the earths geology can not exist,0,Attack,A,0,,,
12,"The greens and ukip provide encouragement for labour and conservatives alike to address some issues people care about, albeit only lip service to retain votes mainly.",The UK Independence Party had its best ever local election night with a 14% share of the vote where they had candidates.,1,Support,A,0,,,
1867,ok,wow,1,Support,A,0,,,
1681,why should we just stop  why not keep trying to understand the universe  i could never imagine being satisfied with a god did it,there are some things human beings were not meant to understand because the god who created this universe is a being who is greater than all of his creation,0,Attack,A,1,,,
424,"UKIP's position is not reasonable, but racists and proto-fascist, considering they have nothing to say about the finance capital bombing of the economy, but to put all the blame for Europe's woes onto immigration.","He debated with journalist and historian Sir Max Hastings who said Britain can't stay in Europe on any terms, but said leaving could mean the UK could find a very tough time out there.",1,Support,A,0,,,
595,"UKIP will lead the UK to independence from the oppressive EU, which is the only chance Britain has at restoring its former glory.",UKIP says it is campaigning on a pro democracy message - aiming to rejuvenate local politics.,1,Support,A,1,,,
2161,here in new hampshire not known as a bastion of liberalism civil unions passed the state legislature this year i am now covered under my partners state sponsored he is a state worker health insurance we are grateful,oh i hear you i am covered by my partners insurance here as well i would not have been able to get the insurance if we were not legally a union,1,Support,A,0,,,
1233,intelligent design is an idea not a theory,it is a fact that design can be determined in the absence of a designer,0,Attack,A,1,,,
647,UKIP seems overwhelmingly to be staffed by racists who want to keep people not born in this country outside this country.,"Meanwhile, the Bulgarian President Rosen Plevneliev has warned that Britain's immigration policy could harm its image as a great global power that pioneered integration.",1,Support,A,0,,,
913,proof why creationism should be taught in schools,the dangers of creationism in education,0,Attack,A,1,,,
212,UKIP are not rabid racist and not another incarnation of the BNP.,"Back in Brussels, UKIP has allies one may be tempted to label as racists - one of the closest being Timo Soini, leader of the eurosceptic True Finns party.",0,Attack,A,1,,,
551,UKIP isn't committed exclusively to either right-wing or left-wing ideology and that’s a very good place to be.,You all think euroscepticism is a right-wing view - it is not.,1,Support,A,0,,,
847,"Ukip is the only party advocating withdrawal from the failing EU, a sensible idea for a lot of people!",The Lib Dem leader also argued that being in the EU meant that we keep ourselves safer because we can go after cross-border crime and terrorism and that we can look after the environment in a way which we can't on our own.,0,Attack,A,1,,,
2380,nuclear energy is the most efficient once all potential hazards are eliminated,zero co emissions and can now be produced much safer than previous generations,1,Support,A,0,,,
1475,i am glad that someone is trying to oppose the paradigm of undirected chancenonintelligent necessity,there is more than naturalism can engage,0,Attack,A,0,,,
1269,the informational signaturesonly conscious beings produce signatures,first id is being applied only to objects that have high levels of csi,1,Support,A,0,,,
1503,in pandas we read creation means that the various forms of life began abruptly through the agency of an intelligent creator with their distinctive features already intact,   httpwww,0,Attack,A,0,,,
2369,bryan cranston and the support cast make breaking bad one of my all time favourites,perhaps the most quality consistent series with a stellar character development,1,Support,A,0,,,
825,UKIP do have more than Nigel Farage able to deal with media interviews.,"Oh and if the last few minutes of reading this article has felt like the Nigel Farage Show, he still dominates this political party.",0,Attack,A,1,,,
1564,as one commenter has already touched on,the bible is the most published and most wide spread book of all times,0,Attack,A,0,,,
1021,my other comment focused more on my atheist background but i wanted to respond to your scientific misconceptions,the name intelligent design is itself a hoax,1,Support,A,1,,,
323,UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,"UKIP enjoyed its best-ever results in May's English council elections, gaining more than 140 seats.",1,Support,A,0,,,
307,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.",Mention Farage and the facial expression you're met with is one of crumpled disgust.,0,Attack,A,0,,,
1346,after some diversions to point out that augustine himself held some inconsistent positions tj finally comes to the quote i providedtji understand what he is saying but for this to be valid the unbeliever has to accurate in what he believes,so tj you seem to have made quite a few foolish arguments how familiar are you with augustinetj  well i know that he believed the earth was created instantaneously not progressively and was according to scripture less than  years old,0,Attack,A,1,,,
1878,evolution has never been witnessed,the aftermath of evolution has been witnessed but never the actual process itself,0,Attack,A,1,,,
210,"The sooner we are out of the EU, the sooner we can start making this country great again.","It is doing the country serious damage because there are large numbers of potential investors in the UK who would bring employment here, who are being warned off because of the uncertainty all of this is creating.",0,Attack,A,1,,,
2427,European Parliament elections should involve only one voting district all of Europe and not separate country seats,This encourages Europe wide thinking,1,Support,A,0,,,
1881,why couldnt god have created everything through evolution,intelligent design is the conclusion of deductive reasoning,1,Support,A,1,,,
821,"If we leave the EU we will save billions of pounds which can then be invested in our ailing national infrastructure, notably the NHS.","He also warned that if a proposed referendum led to the UK leaving the EU, there would be dire consequences for the country's global influence.",0,Attack,A,1,,,
1050,so what using   intelligent design    is the purpose of the appendixid simply predicted that the appendix would have a function,id simply predicted that the appendix would have a function,0,Attack,A,0,,,
2404,I prefer trade to aid,Financial contributions from the West have proved detrimental for Africa,1,Support,A,1,,,
1569,consider the observation of a solar eclipse,yes im fully aware what a solar eclipse is,0,Attack,A,0,,,
932,highlanderpvm seems unaware randomness and design are mutually exclusive concepts,naming two well known id proponents does not a citation make to support pvms twisted version of id arguments,0,Attack,A,1,,,
1538,six days on gods terms not mans terms,feel free to respond,0,Attack,A,0,,,
873,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.","I was delighted to cast my vote for [UKIP leader] Nigel Farage's team in Sussex, where I live, said Lynam.",1,Support,A,0,,,
1939, yes i believe evolution is wrong, on what day did god make the fossils  very simplistic yes it is,1,Support,A,1,,,
2184,it is helpful if one understands evolution before one attempts to debunk it,i know what you mean you should see some of the other books he has at his site as well,1,Support,A,0,,,
546,"The ratio of nutters in UKIP is far higher than in other parties, especially so since they seem determined to take all the Tories' fruitcakes off them.",Farage admitted the party had not had time to properly vet all of its new recruits and he was forced to suspend a handful of them following newspaper reports of alleged racist comments.,1,Support,A,1,,,
