orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
376,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,If I've offended anybody in Bongo Bongo Land I will write to their ambassador at the Court of St James.,2,No Relation,C,,,,
2244,"The sooner we are out of the EU, the sooner we can start making this country great again.",UKIP leader Nigel Farage said the UK had no real control over either the number or the type of migrants that were settling from elsewhere in the EU.,1,Support,C,,,,
882,"Labour should be running scared of UKIP, now the working class are starting to realise that Labour is for middle class socialists and the public sector.","Because what we have done, we have thrown clothes off and they have picked them up and put them on.",2,No Relation,C,,,,
2391,oasthadare we machines choosing between incorrect and correct responses or are we sentient being choosing between good and evil how could you not teach thisthats a good topic for sunday school,id is offered as an explanation for the complexity of life on earth which according to id proponents cannot be explained by random chance and survival of the fittest,1,Support,C,,,,
3802,I prefer trade to aid,Trade may not help those most in need,0,Attack,C,,,,
3817,European Parliament elections should involve only one voting district all of Europe and not separate country seats,One person one vote that will count in exactly the same way as everyone elses,1,Support,C,,,,
214,I'm no fan of UKIP but well done to them for initiating a much needed shake up of British politics.,Mr Farage stepped down briefly before the last election to concentrate on winning a seat in Parliament and says he was not involved in drawing up its manifesto.,2,No Relation,C,,,,
2960,people tend to focus on the trees,i agree he didnt want to confuse us,0,Attack,C,,,,
2041,Whether UKIP can deliver on their promises if they were to win power at the next general election is a moot point because they will not win power.,"He has vowed to scrap all speed cameras in the region, arguing that they sour police relations with law-abiding citizens and fail to cut road accidents.",2,No Relation,C,,,,
2291,teaching darwinism is comparable to teaching flying spaghetti monsterism,teaching the creationismevolution controversy is important to student learning,1,Support,C,,,,
3369, as far as evolution god and the creation of man is concerned maybe evolution is an explanation of how and not why, as a general common sense rule you really shouldnt get into a debate against evolution unless you have some basic understanding of the process of evolution,1,Support,C,,,,
1518,Plenty of survey's have shown UKIP to be the most hated of the main parties.,UKIP say their message is cutting through regularly.,0,Attack,C,,,,
116,"If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.","The United Kingdom Independence Party (UKIP) is now a significant contributory factor in costing the Conservative Party victories in marginal seats, his report says.",1,Support,C,,,,
606,UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,"But he said any future deal with the Conservatives would be difficult, as he claims David Cameron opposes a full, free and fair vote.",2,No Relation,C,,,,
454,"Marketing UKIP as ""the people's army"" is a bitter irony.",A UKIP candidate in Somerset was suspended from the party on Tuesday after a photo of him apparently making a Nazi-style salute appeared on his Facebook page.,1,Support,C,,,,
447,"If you want an insight into just how disorganised UKIP are, go and read what their members, candidates and supporters write on the Telegraph.",The party's campaigning effort has become far more professional and well-funded in the past two years as a result.,0,Attack,C,,,,
2982,im going to ask both creationists and evolutionists to look at the following with a completely open mind for just one minute,why would god explain this only to a semiliterate group of ancient nomads with no understanding of the cosmos or the world outside of their little   society   why not give an updated version to modern jewish or christian or islamic scholars surely all three groups today include people who understand  geology astronomy and biology on a rather more comprehensive level than the ironage authors of genesisin fact being allpowerful why be limited to the understanding of the writers at least if you can create the world surely you can inspire sentences like and the quickness of light shall be found to be always the same relative to the one who looketh and behold the quickness of the light when multiplied by itself and the true weight of matter equals the amount of force that went into its making,1,Support,C,,,,
3933,We should allow voting at 16 in European Parliament elections,This would complicate elections,0,Attack,C,,,,
3636,super mario kart it is one of the most fun games i have played in my life ,super mario brothers is by far the best in my opinion more levels more fun,0,Attack,C,,,,
2770,just what if there is a creator  isnt science after truth  has science proven that there is no creator why is recognizing the possibility that there was intelligence behind the emergence of life a nonscientific idea  basically what you are saying is that if there was a creator or intelligence behind the emergence of life science will never be able to come up with the right answer rightso your whole premise for id being nonscientific is the unproven worldview of naturalismyou start off right from the get go with the assumption that there is no creator or any intelligence involved in the emergence of life and go and try and prove your idea with science,they simply want to show that there is good scientific evidence for considering the role of intelligence in the emergence of life,0,Attack,C,,,,
1258,"If you want an insight into just how mad and bad UKIP are, go and read what their members, candidates and supporters write on the Telegraph.","At this point, in a moment that could almost be a set-up, but seems genuine enough, Farage is approached by a fan.",2,No Relation,C,0,0,1,
2537,design is recognized in the purposeful arrangement of parts storms  tornadoes hurricanes etc,im sorry but this argument of design is apparent not real always make me scratch my head in bewilderment,0,Attack,C,1,0,0,
