orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,correct
2450,do you know that there is a god youre  on this,i am confident there is a god,0,Attack,A,0,,,0
3636,super mario kart it is one of the most fun games i have played in my life ,super mario brothers is by far the best in my opinion more levels more fun,0,Attack,A,1,,,1
2049,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,"While the number of immigrants arriving in the country remained virtually unaltered over the period, the increase was driven by a change in the number of people leaving Britain.",2,No Relation,A,0,,,1
2667,i guess i must be old fashioned  but i do believe in real science,intelligent design has been misrepresented as some kackamamy religiously motivated scheme by those who are afraid to challenge what they believe in,1,Support,A,0,,,1
2193,"The sooner we are out of the EU, the sooner we can start making this country great again.","That said, Lord Davies told peers the bill was an excellent idea, because he was quite confident that any such inquiry would decide that the benefits of EU membership outweigh the costs.",0,Attack,A,1,,,1
1023,"Marketing UKIP as ""the people's army"" is a bitter irony.","Mr Wheeler, a former Conservative Party donor who was expelled from the party by David Cameron over his support for UKIP, said the anti-EU party was attracting more people of all stripes.",0,Attack,A,1,,,1
1208,People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,"On most issues, he is on-message with the national Conservative campaign and is evangelical about the scale of the changes he has led in his four years in the top job at the council.",2,No Relation,A,0,,,1
1008,If the other parties do tackle the issues of EU and immigration I'll be more than happy to see UKIP disappear.,"It is doing the country serious damage because there are large numbers of potential investors in the UK who would bring employment here, who are being warned off because of the uncertainty all of this is creating.",0,Attack,A,1,,,1
672,"UKIP are just another bunch of freeloaders, using peoples fears and prejudice to gain votes so that they can get their snouts into the trough.","There is nobody more interested [than me] for the defence of the EU project and the EU Budget to cut what is not really performing, he told the World At One.",2,No Relation,A,1,,,0
734,I think a lot of UKIP supporters would be outraged if one of the consequences of leaving the EU was to price them out of buying virtually any of today's niceties.,"Turnout was 52.7%, down from 69.3% at the 2010 general election.",2,No Relation,A,0,,,1
3045,the bible is true because the bible says so is incredibly juvenile logic,everything i say is correct regardless of logic or evidence that attempts to prove me wrong,1,Support,A,0,,,1
