orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance,relevance human labeled
31,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.",Nigel Farage seems to be on remarably good form these days.,1,Support,B,0,1,,,
0,I think a lot of UKIP supporters would be outraged if one of the consequences of leaving the EU was to price them out of buying virtually any of today's niceties.,"UKIP used to be a protest vote, he explained, but now we are now talking about how Britain should be governed and how we can help all British people.",0,Attack,B,1,0,,,
2412,I prefer trade to aid,The global economy is not welcoming to African players,0,Attack,B,1,0,,,
1460,lets talk about cricks statement biologist must constantly keep in mind that what they see was not designed but rather evolved,the bottom line is some interpretations of evolution leave little room for a caring god,0,Attack,B,0,1,,,
478,People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,"He said his party had fundamentally changed the national debate on Europe, immigration and education.",1,Support,B,0,1,,,
1983, why is it that when you try to look at the theory of evolution that it comes down to a god thing       as far as i am aware evolution has been tested  proven and those conditions reproduced, i think you will find that there is a vast amount of evidence for evolution if you would care to look,1,Support,B,0,1,,,
1214,islandpvm sayslets see what we can track down via wikipedia which is always a good start for any researchnot where this subject is concerned,whats there left to do,1,Support,B,1,0,,,
366,Ukip are doing well for the very simple reason folk have at last realized that they are being lied to by LibLabCon and now have somewhere else to go.,They (the Conservatives) know they have lost the argument on jobs and immigration and UKIP have stolen a march on them.,1,Support,B,0,1,,,
112,UKIP are asking the questions that haven't been asked by the opposition or the media.,But the PM has previously described the eurosceptic UKIP as containing loonies and closet racists.,0,Attack,B,1,0,,,
2173,creationism starts with a conclusion and finds data to support it according to the scientific method one is supposed to look at data and draw a conclusion from it therefore creationism is not science and needs not take any scientific consideration,been saying that ever since the first time i heard about creationsism,1,Support,B,0,1,,,
259,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.","Bulgarian people are raising a lot of questions today about the democratic, tolerant and humane British society and whether someone like Nigel Farage is an appropriate representative of it.",0,Attack,B,1,0,,,
1075,the di agrees that methodological naturalism simply requires that in trying to explain any particular observation or experimental result an investigator may not resort to miracles,when i grew up science was a useful tool for discovering things about the world around us,0,Attack,B,0,1,,,
2543,We should force think tanks to reveal all of their sources for resource funding,The status quo promotes nontransparency,1,Support,B,0,1,,,
1392,i never said anything about einsteins religious convictions,and seeing that pvm doesnt care about the truth why is he a scientiston the contrary i have been asking you several times now how does id explains the bacterial flagella,0,Attack,B,1,0,,,
1900, theres no rational reason to accept creationism its simply empty claims with no evidence it has no predictive powers it cannot explain what we see in nature and it introduces a level of complexity with no explanation requiring mindless faith, the prospect of creationism is pretty absurd,1,Support,B,0,1,,,
2432,European Parliament elections should involve only one voting district all of Europe and not separate country seats,Some countries may be left without representation,0,Attack,B,0,1,,,
2346,i guess it might change your habits for a couple of days or maybe weeks but after that you will probably forget the whole thing and continue eating junk food,i was about to post the same thing you get hesitant for a while but then forget all about it,1,Support,B,0,1,,,
53,"UKIP are just another bunch of freeloaders, using peoples fears and prejudice to gain votes so that they can get their snouts into the trough.","We see large and growing Muslim communities which are set against integration with the rest of us, and UKIP are the only ones willing to discuss these things.",0,Attack,B,1,0,,,
729,"UKIP is a not a real party, with a clear global ideology and vision addressing all aspects of society: it is focusing on a handful of issues (all centered around membership in the EU and migrants), mostly ignoring global financial issues, health, education, security etc.",He said UKIP was clearly taking a very right wing position which pandered to an obvious anti-Europeanism.,1,Support,B,0,1,,,
583,"UKIP’s popularity is mainly founded on the likeability of its leader Nigel Farage, who manages to obscure its racist policies in clever rhetoric.",The party's leader Nigel Farage has promised to cause a political earthquake at next year's polls after a strong showing in local elections.,0,Attack,B,1,0,,,
2488,The US should ban cluster bombs,Cluster Bombs Have Significant Strategic Value,0,Attack,B,1,0,,,
424,"UKIP's position is not reasonable, but racists and proto-fascist, considering they have nothing to say about the finance capital bombing of the economy, but to put all the blame for Europe's woes onto immigration.","He debated with journalist and historian Sir Max Hastings who said Britain can't stay in Europe on any terms, but said leaving could mean the UK could find a very tough time out there.",1,Support,B,1,0,,,
1555,its not that cut and dried,its not that cut and dried,0,Attack,B,0,1,,,
426,UKIP is not at all taking into account the financial effects of leaving the EU: Europe is the main market for the UK. ,UKIP has evolved over the two decades since it was created from an anti-EU pressure group into a fully fledged party which has now proved that it can succeed beyond European elections.,0,Attack,B,1,0,,,
1805,ive studied a lot of biology and to me evolution has indeed been proved,maths is the only branch of science that offers  proof of its arguments,1,Support,B,1,0,,,
1939, yes i believe evolution is wrong, on what day did god make the fossils  very simplistic yes it is,1,Support,B,1,0,,,
1243,the problem with the catholic church is that it has been unable to disagree with any scientific theory ever since they got burned condemning galileo,funny how being completely wrong about the earth revolving around the sun can make the catholic church a bit gun shy about claiming that   science   is incorrect without evidence to back it up,0,Attack,B,0,1,,,
657,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".","It is also one which means people often dismiss it as a single issue party, unlikely to become a force in Westminster politics.",1,Support,B,0,1,,,
