orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance,relevance human labeled
3388, evolution is correct, people who believe that god created the earth keep saying that they got this from the bible,1,Support,C,0,0,1,,
2085,"If UKIP don't like being smeared, then they need to stop smearing, stigmatising, and fear mongering about others.",Conservative MEP Daniel Hannan said the Tories and UKIP should start having conversations and stop calling each other names.,2,No Relation,C,0,1,0,,
2484,i am always tickled by claims of id advocates that darwinism stifles inquiry and that only id creationism will break the shackles that darwinism puts on the mind that id creationism will open avenues of insight into practically everything,it also means that scientists who hold legitimate scientific views deserve to be heard even if their views differ from the consensus,1,Support,C,0,1,0,,
3864,We should promote democratisation,The immense cost and effort involved in sustaining democracy across the world in countries that are not prepared to fully accept responsibility themselves does not equal the benefits,0,Attack,C,1,0,0,,
1702,"In fact, all UKIP seems to talk about now is withdrawl from the EU without any genuine policy around UK's domestic economy.","Among the 31% of respondents who said immigration is good for the economy, half wanted to see it reduced anyway.",2,No Relation,C,0,0,1,,
3348, hahaha theres always one that slips through the net, i remember bumping into a jehovahs witness and he was blabbing on about some bullshit that the earth is in a stage called its last days,1,Support,C,0,1,0,,
3818,European Parliament elections should involve only one voting district all of Europe and not separate country seats,Get out the vote,1,Support,C,0,0,1,,
311,Ukip are doing well for the very simple reason folk have at last realized that they are being lied to by LibLabCon and now have somewhere else to go.,"On many issues, UKIP presents the sort of policies that Conservative voters believe in and David Cameron's Conservative party sadly does not.",1,Support,C,0,1,0,,
1875,"Ukip has British values, wants to get British industry kick started back to the fore front again, become more self-sufficient.","Over three million jobs in this country, directly or indirectly, depend on us being in the EU, so that is a big choice.",0,Attack,C,1,0,0,,
3647,nobody buys books anymore,lots of people buy books now a lot of people still prefer the feel of paper,0,Attack,C,1,0,0,,
629,The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,"It is a long overdue step in the right direction to bringing the NHS back round to what it was set up to be, a national health service, not an international service.",2,No Relation,C,0,0,1,,
2788,joe gi never said anything about einsteins religious convictions,but they do,0,Attack,C,1,0,0,,
264,If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,It's sad how anybody can be offended by a reference to a country that doesn't exist.,2,No Relation,C,0,0,1,,
3204,evolution is basically common sense once you put down your bible and get out of the church,evolution really is true but as we all know the main reason of how we evolve is because of god our lord,1,Support,C,1,0,0,,
2456,discovery institute quote mines mayrwhat one actually found was nothing but discontinuities,i was going to post a long reply discussing each quote in detail but i decided this was so much simpler,1,Support,C,0,1,0,,
2383,first of all the bible is not a   science   book,science can never conclusively prove that there is no god unless proof of another   god   is somehow found,0,Attack,C,0,1,0,,
3900,The International Criminal Court should be recognised,The novel crime of aggression leads to the prosecution of those seeking to protect human rights,0,Attack,C,1,0,0,,
3672,hybrid electric vehicle,high vehicle cost,0,Attack,C,1,0,0,,
2885,why should god be directly implicated when it looks like a duck smells like a duck walks like a duck,fxl insists that just because god is absent from the book that it therefor could not have been based on creationism even though it defined creationism to be in line with its predecessors and later renamed the term to read design,0,Attack,C,1,0,0,,
1722,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.",Mr Marchessini said he had met UKIP leader Nigel Farage on two occasions but would make no more donations.,2,No Relation,C,0,0,1,,
3790,We should ban religious symbols in public buildings,Religious symbols cause problems in schools,1,Support,C,0,1,0,,
3340, there is no scientist can give strong evidence to support evolution, i am going to borrow from churchill,1,Support,C,0,0,1,,
2770,just what if there is a creator  isnt science after truth  has science proven that there is no creator why is recognizing the possibility that there was intelligence behind the emergence of life a nonscientific idea  basically what you are saying is that if there was a creator or intelligence behind the emergence of life science will never be able to come up with the right answer rightso your whole premise for id being nonscientific is the unproven worldview of naturalismyou start off right from the get go with the assumption that there is no creator or any intelligence involved in the emergence of life and go and try and prove your idea with science,they simply want to show that there is good scientific evidence for considering the role of intelligence in the emergence of life,0,Attack,C,0,1,0,,
2776,of course the disco tute is the discovery of nonsense,by the logic of the antiidists the current theory of evolution is an atheistic theory because richard dawkins once stated it allows for one to be an intellectually fulfilled atheist,1,Support,C,0,1,0,,
1809,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,UKIP leader Nigel Farage said the UK had no real control over either the number or the type of migrants that were settling from elsewhere in the EU.,1,Support,C,0,1,0,,
693,The only reason we are even having a sensible debate about Europe are UKIP.,"I remember we were in Ypres, it was about 3:00am in the morning, we must have drunk the restaurant completely dry - it was one hell of a session, and I called time.",2,No Relation,C,0,0,1,,
3228,aha exactly and we now know that pluto is a planetoid not a planet,no evolution has yet to proven,1,Support,C,0,1,0,,
2472,should we just reject the bigbang as being unscientific since it would require a supernatural cause according to the nd premise you list is the best you can really come up with is who designed the designer,why would consideration of the designer necessarily introduce religious discussions about theological questions clearly it is because his concept of the designer is a supernatural onewhich was exactly what i was arguing,1,Support,C,0,1,0,,
688,Ukip are doing well for the very simple reason folk have at last realized that they are being lied to by LibLabCon and now have somewhere else to go.,"Firms with apprenticeship schemes had a workforce that was more motivated and connected, he suggested.",2,No Relation,C,0,0,1,,
2990,so youre saying that because it is written in the bible that god created the universe in the manner described then it must be true i dont even know where to begin on this one,you havent made a point at all,0,Attack,C,1,0,0,,
1728,UKIP are blatantly disregarding the possibility of man made climate change.,Former Europe Minister Denis MacShane said the EU was Britain's biggest trading partner.,2,No Relation,C,0,0,1,,
3012,but how does the bible self authenticate the verses about four rivers coming out of eden it doesntyou must be joking,youre missing the point about the four rivers,0,Attack,C,1,0,0,,
799,"I don't see UKIP as being far right, they're just further right than the rest who have congregated arund the middle ground.",He said he planned to appeal against his conviction for conspiracy to blackmail.,2,No Relation,C,0,0,1,,
1781,"Ukip is the only party advocating withdrawal from the failing EU, a sensible idea for a lot of people!",Amjad Bashir was responding to comments on Wednesday's Daily Politics from ex-deputy PM Lord Heseltine that UKIP was a racist party.,0,Attack,C,1,0,0,,
1452,Beyond leaving the EU and migration what policies do ukip have?,"I fear that on climate change and energy policy, UKIP have nothing to offer.",1,Support,C,0,1,0,,
986,"If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.","Evil is at its most destructive when it passes from the individual to the collective, he added.",2,No Relation,C,0,0,1,,
2328,seems highlander was somewhat quick in his response as i am more than willing to support my claims,highlanderthe exact same is true when modern science reveals an ic structure such as the flagellar motor  assembly,1,Support,C,0,1,0,,
4004, especially from a first time director,its too bad you couldnt finish because its a great movie,0,Attack,C,0,1,0,,
1743,UKIP are blatantly disregarding the possibility of man made climate change.,The energy secretary will say attempts to discredit the scientific evidence of climate change threaten a breakdown of the political consensus on the issue.,1,Support,C,0,1,0,,
1080,"The country faces more than two big issues, which is where Ukip come apart at the seams in an incoherent bunch of right wing horse shit from whatever Think Tank came along at the time.","The party said Mr Campbell Bannerman had agreed, when he was chosen as a candidate in 2008, to represent UKIP for the full five-year parliamentary term or stand down.",2,No Relation,C,0,0,1,,
2302,if creationism should be taught it should not be taught in science classes,teaching creationism is akin to childabuse,1,Support,C,0,1,0,,
159,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,David Silvester blamed recent flooding on the government's decision to legalise gay marriage - he was then suspended from the party.,2,No Relation,C,0,0,1,,
237,The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,"They spoke about pay levels, maternity leave and gardening leave in the financial world in a Daily Politics debate with Andrew Neil and Jo Coburn.",2,No Relation,C,0,0,1,,
654,"If UKIP don't like being smeared, then they need to stop smearing, stigmatising, and fear mongering about others.","By the time the electorate had had its say four years ago, it was left with just three.",2,No Relation,C,0,0,1,,
2863,but its more than we dont understand thus designed,i am fast drawing to the conclusion that this discussion will never end,0,Attack,C,1,0,0,,
51,The reason why UKIP has gained so many votes is because the main parties refuse to deal with immigration and the EU.,"It is doing the country serious damage because there are large numbers of potential investors in the UK who would bring employment here, who are being warned off because of the uncertainty all of this is creating.",0,Attack,C,0,1,0,,
2474,the ayn rand center says id claims that design can be inferred merely from observed complexity specified complexityi, this is really your argument thats really unimpressive,0,Attack,C,1,0,0,,
2050,"If we leave the EU we will save billions of pounds which can then be invested in our ailing national infrastructure, notably the NHS.","Mr Cameron also said he did not think it would be right for Britain - or in the national interest - to leave the EU entirely, pointing out that some 50% of nation's trade was with the EU.",0,Attack,C,1,0,0,,
1934,"UKIP specifically targets and stigmatises people from specific nations, mostly eastern Europeans, arguing these comments are ‚Äúfine‚Äù because they only represent national not racial stereotypes. They are being extremely racist with their political approach in a way that may be borderline legal, but definitely not okay.","Mr Dimitrov said UKIP leader Nigel Farage was usually very feeble in presenting solid arguments, suggesting he preferred to engage in propaganda which deviates markedly from the essence of the debate.",1,Support,C,0,1,0,,
1429,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,Former Europe Minister Denis MacShane said the EU was Britain's biggest trading partner.,0,Attack,C,0,0,1,,
3876,We should use torture to obtain information from suspected terrorists,Allowing torture under any circumstances will allow the prospect of its routine use,0,Attack,C,0,1,0,,
3660,people who eat at such places every week will not be really bothered personally i try to stay away from it for many reasons not just because of the stories,care to share those reasons,0,Attack,C,0,1,0,,
2560,behe assertsdesign is recognized in the purposeful arrangement of partswho decides if an arrangement of parts is purposeful  what does purposeful really mean in that statement  do the parts have purpose  does the arrangement have purpose  did the designer have purpose  if i take an old wristwatch and remove all the springs and gears and arrange them in a circle is the circle designed  if i throw them in a heap are all of the parts of the watch no longer designed  if i pick up some metal shavings off of the floor from under the lathe in the machine shop and arrange them into a complicated mathematical pattern that i generated using a computer program can you tell if this is a purposeful design or just a random designis a virus designed  a prion  a fragment of rna a benzene molecule  how can you tellwaving your hands and saying i know design when i see it and all life was obviously designed just wont cut it,who decides if an arrangement of parts is purposeful what does purposeful really mean in that statement do the parts have purposeif there is some form of synergy in the arrangement then yes that would be purposeful,0,Attack,C,1,0,0,,
3377, why is it that when you try to look at the theory of evolution that it comes down to a god thing       as far as i am aware evolution has been tested  proven and those conditions reproduced, i think you will find that there is a vast amount of evidence for evolution if you would care to look,1,Support,C,0,1,0,,
1107,Many racists and especially xenophobes find the UKIP message appealing.,"In 2005, Bhutto, of Leeds, admitted being the gang's boss and was jailed for seven years by a UK court for conspiracy to blackmail.",2,No Relation,C,0,0,1,,
227,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,In Thursday's by-election turnout was 22.4% and the Conservative majority was 35% - a fall from 53% in 2009.,2,No Relation,C,0,0,1,,
753,UKIP are blatantly disregarding the possibility of man made climate change.,"Mr Farage was challenged on a number of issues - including the party's attitude towards climate change, maternity leave and small businesses, diversity in the party and the European Union.",1,Support,C,0,1,0,,
1610,UKIP's proposals on membership in the EU and migrants are at best purely demagogic: they do not take into account facts and more general issues.,Grant Shapps said the revised seats would be right and fair but denied he was in secret talks with the Liberal Democrats to get them through Parliament.,2,No Relation,C,0,0,1,,
2034,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,Sir Menzies Campbell suggested the government was worried about a political backlash amid public concerns about immigration levels in general.,1,Support,C,0,1,0,,
2512,i dont follow dr,it seems that so far id has focused on malaria and on the bacterial flagellum which shares homology with the type three secretory system used by bacteria responsible for the bubonic plague,1,Support,C,0,0,1,,
235,The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,"We've got a lot of work to do on that, and to build up our stronger areas, but who's to say that in 2015 UKIP may well be needed in a coalition?",2,No Relation,C,0,0,1,,
2010,"I suspect the main reason a new Left party hasn't emerged with similar prominence to UKIP is because UK politics has, like that in the USA, become the plaything of the wealthy.","He said it was proof that UKIP is no longer just a protest party and is broadening its appeal across the country, not just the south of England.",2,No Relation,C,0,1,0,,
106,"As far as immigration is concerned all Ukip want is a level playing field for non EU migrants and to control the numbers so, if anything, Ukip are too soft on immigration.","I think people are beginning to read our manifesto, understand that it's common sense, that it was put together by professionals and the layman so that everybody should understand, he told the BBC.",1,Support,C,0,1,0,,
1691,UKIP are the only party willing to have a sensible open debate on the key issues affecting the country. ,Mandelson told Jeremy Vine that holding a referendum 'just because one wing of the Conservative Party' and UKIP want us to was not a good reason for doing so.,2,No Relation,C,1,0,0,,
3060,why does any one think god is limited to time,does the bible state that the world was created in six days,0,Attack,C,1,0,0,,
666,"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.",Mr Bloom of UKIP - who sits on the European Parliament's women's rights and gender equality committee - provoked controversy last month when he talked about British foreign aid going to bongo-bongo land - a reference to third world countries.,1,Support,C,0,1,0,,
1235,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,The Lib Dems also plan to stand in Humberside but have yet to select a candidate.,2,No Relation,C,0,0,1,,
3906,I believe that opinion polls harm the democratic process,Opinion polls are a forum for public expression and should be protected,0,Attack,C,1,0,0,,
3169,yeah thats kinda true,scientific subjects such as the creation and development of the universe arent really democratic topics,0,Attack,C,0,1,0,,
1382,"The Green Party stands out as different, UKIP are just another bunch of neo-cons, although further out to the right.","Excluding him from the debate would give his party underdog status, he added.",2,No Relation,C,0,0,1,,
742,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,"Well, they are only going to get that if David Cameron is prime minister after the next election, he told BBC Radio 5 Live's Pienaar's Politics.",2,No Relation,C,0,0,1,,
1825,UKIP is an opportunistic party that exploits the unpopular European Union for political gain.,UKIP leader Nigel Farage said any members proven to have extreme right wing views would be expelled.,2,No Relation,C,1,0,0,,
2110,"If UKIP don't like being smeared, then they need to stop smearing, stigmatising, and fear mongering about others.","UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",0,Attack,C,0,0,1,,
1388,For what its worth I think UKIP is a one trick pony and is unelectable in a general election.,"He beat fellow MEP David Campbell-Bannerman, economist Tim Congdon and former boxer Winston McKenzie.",2,No Relation,C,0,1,0,,
1767,"Even a UKIP European candidate, Janice Atkinson, another ex-Tory, admits leaving the EU would be problematic.","While the number of immigrants arriving in the country remained virtually unaltered over the period, the increase was driven by a change in the number of people leaving Britain.",2,No Relation,C,0,0,1,,
2039,"I suspect the main reason a new Left party hasn't emerged with similar prominence to UKIP is because UK politics has, like that in the USA, become the plaything of the wealthy.","He said it was proof that UKIP is no longer just a protest party and is broadening its appeal across the country, not just the south of England.",2,No Relation,C,0,1,0,,
696,UKIP are not rabid racist and not another incarnation of the BNP.,"Back in Brussels, UKIP has allies one may be tempted to label as racists - one of the closest being Timo Soini, leader of the eurosceptic True Finns party.",0,Attack,C,1,0,0,,
3435, if your trying to find evidence in the bible your right, god is just an imaginary friend for adults,1,Support,C,1,0,0,,
297,"It's true that UKIP dont have ideas to suit everyone, but at the moment they are heads above the pillocks at No 10 today.","The first televised debates were held before the last general election in 2010, involving the three main party candidates - Labour's Gordon Brown, Conservative Mr Cameron and Liberal Democrat Nick Clegg.",2,No Relation,C,0,0,1,,
2432,i appreciate your contributions as they provide an independent view into why so many have come to accept the scientific vacuity of id,i am curious about one thing  luskin statesid investigations thus begin with observations about how intelligent agents operate and then proceed to convert those observations into positive predictions of what scientists should find in nature if intelligent design was involved in the origin of a given natural object,1,Support,C,0,1,0,,
3472,i have cited several pieces of evidence that prove you wrong you just wish to ignore them as you do everything that contridicts your belief,you have not proven anything all you have done is spew your same old which ignores what i actually say and reinterprets it to mean what you want it to say,0,Attack,C,1,0,0,,
2797,good arguments are worth far more than vehement objections,liberals will loose this battle,0,Attack,C,0,0,1,,
343,"For many UKIP voters, it does not particularly matter what the party's policies are, but that UKIP is not Labour or Conservative.","After the accident and his failure to defeat the Commons Speaker John Bercow in Buckingham, he told the BBC he wanted to take a bit more time for myself and for my family.",2,No Relation,C,0,0,1,,
3838,We should fear the power of government over the internet,Internet governance is necessary to combat heinous crimes committed via the internet,0,Attack,C,1,0,0,,
3384, this is pure ignorance, i really do not know where to start with this one at the time of writing this response apparently evolution is incorrect,1,Support,C,0,1,0,,
2307,proof why creationism should be taught in schools,the dangers of creationism in education,0,Attack,C,1,0,0,,
150,The more the 'mainstream' parties smear and lie about UKIP the more their support rises.,Journalists were not the only people who made the former Conservative peer's election an uncomfortable experience.,2,No Relation,C,0,0,1,,
1803,"UKIP is not an isolated phenomenon: France has Le Pen, Germany has AfD, and all of these have in common that they are nationalist, anti-European, and more right than mainstream conservative parties.",He said UKIP was clearly taking a very right wing position which pandered to an obvious anti-Europeanism.,1,Support,C,0,1,0,,
3735,but there are very nice beaches nearby,this is true for example baratti is lovely,1,Support,C,0,1,0,,
3410, yes if what you are saying is true then im for it, no it is not falling apart,0,Attack,C,1,0,0,,
2461,the problem with your argument is that it simply depends on a certain kind of fossil not being foundthats part of the equation it also relies on changes or progressions between fossils happening to quickly or too sudden in order for it to be accounted for by chance and necessity,for starters   httpwww,0,Attack,C,0,0,1,,
3940,We should force think tanks to reveal all of their sources for resource funding,Think tanks should be able to choose not to know who funds them,0,Attack,C,1,0,0,,
2067,"The sooner we are out of the EU, the sooner we can start making this country great again.","In a separate interview with BBC Radio 5 live, he warned of the possible consequences of an in-out referendum on the UK's relationship with the EU.",0,Attack,C,0,0,1,,
2490,and it never has and never will,the biologic institutemy my what nonsense,0,Attack,C,0,0,1,,
526,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,Nigel Farage is an intelligent man.,2,No Relation,C,1,0,0,,
1191,The reason why UKIP has gained so many votes is because the main parties refuse to deal with immigration and the EU.,"Bhutto's gang were behind a high-profile kidnapping in Karachi in 2004 and he then took a Â£56,000 ransom payment in Manchester.",2,No Relation,C,0,0,1,,
3782,i recommend to perform a filling process simulation with moldex soft,yes indeed the filling simulation showed a certain degradation at the hinge area but at an acceptable level,1,Support,C,0,1,0,,
3445,i read it in the text,well as we can see from other recent posts your reading comprehension is below high school level,0,Attack,C,1,0,0,,
559,"UKIP are a fairly right wing group as I'm sure will become clear when they actually produce some policies other than the ""its all the eu's"" fault.","Every time I interview Mr Farage, there is always a pub close by.",2,No Relation,C,0,0,1,,
1037,"The momentum is with UKIP; Labour, Conservative and Liberal areas are all now vulnerable to them. ",I want to campaign for Britain to break free from the EU and UKIP are the party to do it.,1,Support,C,0,1,0,,
1958,UKIP is the only party that has understood the damage immigration does to the UK and its policies aim at repairing this.,The Bulgarian President Rosen Plevneliev has warned that Britain's immigration policy could harm its image as a great global power that pioneered integration.,0,Attack,C,0,0,1,,
1213,Labour won't have anything to do with UKIP as they are more right-wing than the Tories. ,Some Conservative MPs raised questions about the leadership.,2,No Relation,C,0,0,1,,
2862,but its more than we dont understand thus designed,but its more than we dont understand thus designed,0,Attack,C,0,1,0,,
3767,i have to go for apple it did introduce the iphone the applications market and mobile social networking,i agree apple has also been voted as the worlds number one brand,1,Support,C,0,1,0,,
481,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,"But it doesn't stop the parties having a crack at it, nor the pundits either.",2,No Relation,C,0,0,1,,
681,A forensic examination of UKIP's policies would nail once and for all the Establishment lie that they're a bunch of swivel-eyed racists.,"BBC political correspondent Robin Brant, who is at the count in Eastleigh, said that turnout was estimated at 52% - down from 69% at the 2010 general election, but still high for a by-election.",2,No Relation,C,0,0,1,,
3593,when evidence is interpreted it is interpreted by flawed and failed humans with biases just like everyone elses,right that certainly explains the many many versions of christianity,1,Support,C,0,1,0,,
3748,london surely is a better city than vienna,i think it depends on the individual,1,Support,C,1,0,0,,
2194,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"UKIP are certainly trying to professionalise, to move away from its more amateurish origins, but they seem to fail to do so.",1,Support,C,0,1,0,,
3017,some foolish men declare that a creator made the world,what is it with people like you  was the bible the first book you read and then you quit reading anything else can you defend your position without reference to the bible do you have any evidence yes evidence from another source that shows the bible is the word of god and not just a collection of books selected by the vatican to support a particular viewpoint why do you find it easier to believe in some all powerful supernatural creator that is eternal than a natural universe that is eternal is it possible to prove without reference to your book that god exists or does not exist  probably not,0,Attack,C,1,0,0,,
3800,I prefer trade to aid,Trade is a longterm basis for international cooperation,1,Support,C,0,1,0,,
500,A vote for UKIP would be a vote for a Tory-UKIP alliance that would be more right-wing than a Tory government.,I also wasn't satisfied with some of the track records of some of the guys in UKIP.,1,Support,C,0,1,0,,
1986,UKIP want to get us out of the EU to make the British people much worse off then they already are.,"UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",0,Attack,C,1,0,0,,
2901,luskins opinesas i discussed in my rebuttals to the first two opening statements of the national center for science education ncse some of their common debate tactics includeof course,in the past the flagellum was supposedly an example of an irreducibly complex biological structure that could not evolve,1,Support,C,0,0,1,,
1681,UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,"The charge put by its deputy leader David Campbell Bannerman when he defected to the Conservatives in the wake of the May elections was that UKIP remained, at heart, a single issue pressure group.",0,Attack,C,1,0,0,,
