orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,correct
1230,"There's an election next month, UKIP are campaigning on the streets right now, and candidate upon candidate keeps churning out ridiculous (often racist, sexist or homophobic) views.","Mr Neville, interim chair of Youth Independence - UKIP's youth wing - has been asked to stand down after comments he made in an interview with BBC Radio 4's The World at One last month.",1,Support,C,0,1,0,1
2728,tjok you are right on this point as well,well isnt that what the whole debate here is about,0,Attack,C,1,0,0,1
3924,US intervention in Libya lacking congressional approval was illegal,The intervention was necessary in order to protect US interests in the region,0,Attack,C,1,0,0,1
211,The only reason we are even having a sensible debate about Europe are UKIP.,"In June 2004, a gang led by Bhutto kidnapped Ahmed Naeem, the son of a wealthy businessman, at gunpoint from a car on a Karachi residential street.",2,No Relation,C,0,0,1,1
1185,"Despite their best efforts at pretending otherwise, UKIP are still widely disliked and untrusted by the majority of the population.","In the 1997 general election, he selectively funded individual eurosceptic candidates.",2,No Relation,C,0,0,1,1
841,UKIP are not rabid racist and not another incarnation of the BNP.,"In 2005, Bhutto, of Leeds, admitted being the gang's boss and was jailed for seven years by a UK court.",2,No Relation,C,0,0,1,1
617,"There's an election next month, UKIP are campaigning on the streets right now, and candidate upon candidate keeps churning out ridiculous (often racist, sexist or homophobic) views.",The nature of the modern Conservative Party Conference reflects its crisis in willing support.,2,No Relation,C,0,0,1,1
865,"Labour should be running scared of UKIP, now the working class are starting to realise that Labour is for middle class socialists and the public sector.","Mr Farage suffered back injuries sustained in an air crash on election day 2010, and had had a couple of discs removed from my neck and replaced last week, he told the BBC.",2,No Relation,C,0,0,1,1
3741,absolutely everybody knows about foursquare but nobody remembers gowalla they offered identical features and also launched on the same day same conference,well said,1,Support,C,0,1,0,1
2142,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,"He said he had been advised to make the arrangement for inheritance purposes, on the basis that it could be used to pay for things such as schools fees for grandchildren.",2,No Relation,C,0,0,1,1
2053,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,Mr Fabricant said an electoral pact with UKIP - in which the Tories would promise a referendum on European Union membership after 2015 and in return UKIP would not stand against Tory candidates - could help the Conservatives win an extra 20-40 seats at the next election.,2,No Relation,C,0,1,0,0
2465,intelligent design if true would indeed have amazing implications,in arguing for the existence of god dr,1,Support,C,0,0,1,0
3900,The International Criminal Court should be recognised,The novel crime of aggression leads to the prosecution of those seeking to protect human rights,0,Attack,C,0,1,0,0
3186,therefore evolution has not been scientifically proven,i agreed with you up until reasonable doubt,0,Attack,C,1,0,0,1
3218,if what you say is true then nothing at all is scientific fact,it has not been proven and i dont think it can be,0,Attack,C,1,0,0,1
919,I think a lot of UKIP supporters would be outraged if one of the consequences of leaving the EU was to price them out of buying virtually any of today's niceties.,"Clearly I would have preferred to get more votes but this was always going to be a tough fight for Labour, he said.",2,No Relation,C,0,0,1,1
2121,"As far as immigration is concerned all Ukip want is a level playing field for non EU migrants and to control the numbers so, if anything, Ukip are too soft on immigration.",Small parties have a habit of disintegrating into internal warfare or being wiped out by the vagaries of the electoral system and political fashion - British politics has seen a few come and go over the years.,2,No Relation,C,0,0,1,1
4002,this movie absolutely fell flat after the discovery at the crash site was made,one million voters disagree with you what do you think they saw in this movie that you did not,0,Attack,C,1,0,0,1
3449,like i said i can not take mens position on abortion seriously because their viewpoint must be affected somewhat by the fact that they will never actually have to make the decision themselves,so barren women can not have a valid point of view nor women in the stage of menopause because it does not affect them personally perhaps you should tell the moderator to institute women only forums men only forums gays only forums etc,0,Attack,C,1,0,0,1
2125,"As far as immigration is concerned all Ukip want is a level playing field for non EU migrants and to control the numbers so, if anything, Ukip are too soft on immigration.",Co-author Peter Bone said such measures would win back voters from UKIP.,2,No Relation,C,0,1,0,0
1116,Cameron had it right and UKIP could tip the balance towards Labour in the crucial marginal seats in the GE where the battle will take place .,"In her interview with the Spectator she said the Conservatives were in a similar position to Sir John Major's government in 1997, when the party was heavily defeated by Tony Blair's Labour.",2,No Relation,C,0,0,1,1
2462,for starters   httpwww,the di is correct to point out that a lack of merit of id should not be confused with its religious implications however the combinations of its religious foundations with a lack of scientific content provides a strong argument against id having merit scientifically and delegates it to the realm of theology,1,Support,C,0,0,1,0
3690,you can get any other tablet for much less that has the same features ,one may argue that there are enough apple only apps justify the apple price,0,Attack,C,1,0,0,1
514,UKIP and the Greens are the only parties to date that haven't screwed us all over.,A poll showed that only 26% said the PM was in touch with the lives of ordinary voters.,1,Support,C,0,0,1,0
3557,sounds great it is this aspect of our lives that the conservatives will not see but anyway more power to you and i hope that you and your partner have many long and happy years together,thank you i think we will,1,Support,C,0,1,0,1
3841,The voting age should be lowered to sixteen years,No taxation without representation,1,Support,C,0,0,1,0
3027,obviously you havent done much reading on the aig website,obviously you havent done much reading on the aig website,0,Attack,C,0,1,0,0
1645,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".","I believe that what UKIP is doing is vital for this country, and of course the party's financial management is crucial.",2,No Relation,C,1,0,0,0
