orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance,relevance human labeled
3019, do you read books other than those produced by humanists just askingi am not a biblical scholar so i had to look for this but according to the catholic encyclopedia article on the canon of the new testament the idea of a complete and clearcut canon of the new testament existing from the beginning that is from apostolic times has no foundation in history,andrew holt heres my take on your question,0,Attack,C,0,0,1,,
2926,i know this sounds crazy but in a weird way im honored to get a response from you,the full drafts were all entered as evidential exhibits with the court and are on file there,0,Attack,C,0,0,1,,
1387,"Marketing UKIP as ""the people's army"" is a bitter irony.","It's early days, but there is talk here of UKIP coming second and the Conservatives slipping to third, our correspondent added.",2,No Relation,C,0,0,1,,
3098,my basic problem with science on these matters is that it is not true science,agreed  percent  this is my frustration with people who want to find every possible motive to discredit creationism they seem to want everyone to accept their viewpoints without question while they seemingly want to question and discredit anyone who does not see from their points of view,0,Attack,C,0,1,0,,
1573,"UKIPs main issue has always been the EU, immigration has just been the bit that highlights what a failure the project has been.",It comes as William Hague ruled out an electoral pact with UKIP.,2,No Relation,C,0,0,1,,
3526,i wonder if you would think differently if those two guys got away raped your wife killed your kids burned your house and you somehow knew that they could have been stopped back in texas,dreaming up imaginary what if situations does not prove anything,0,Attack,C,1,0,0,,
1448,"UKIP are a two trick pony, Europe and immigration that's it.","But it is also one which means people often dismiss it as a single issue party, unlikely to become a force in Westminster politics.",1,Support,C,0,1,0,,
3654,i think that there should be something that judges the percentage of people that are satisfied with your answer ,how would this be different to the rating of a particular replyanswer that it currently has,0,Attack,C,1,0,0,,
1327,"In UKIP, we have a new political force which looks likely to poll very well in a national election.","Due to what the party says was a clerical error, between December 2004 and January 2006 he was not on the electoral register - making him an impermissible donor under UK electoral law.",2,No Relation,C,0,0,1,,
16,"The People's Army is on the march and UKIP will get Britain back from the Liblabcon, Establishment and MSM political abusers of our country.",He said he had been impressed by David Cameron's leadership while UKIP was beset by internal fighting and was not a credible political force.,0,Attack,C,1,0,0,,
1438,"Ukip is the only party advocating withdrawal from the failing EU, a sensible idea for a lot of people!","He stressed his view that human rights were about some of the appalling things happening around the world - people being brutalised for their political views, people being put in jail.",2,No Relation,C,0,0,1,,
1983,"In fact, all UKIP seems to talk about now is withdrawl from the EU without any genuine policy around UK's domestic economy.","Among the 31% of respondents who said immigration is good for the economy, half wanted to see it reduced anyway.",2,No Relation,C,0,0,1,,
1252,"In fact, all UKIP seems to talk about now is withdrawl from the EU without any genuine policy around UK's domestic economy.",He said many people were beginning to prefer what UKIP was offering - which he called the politics of the common ground.,0,Attack,C,1,0,0,,
3704,nuclear energy is the most efficient once all potential hazards are eliminated,i tend to disagree the main problem with the nuclear power is that the plant cannot be switched off fast we are not able to control this process,0,Attack,C,1,0,0,,
2467,of course id has to move from its position of ignorance to a position which allows it to be fully reconcilable with science namely by arguing a position of front loading which moves the design event to coincide with the big bang,i dont agree with the very first statement that id limits its claims to what can be scientifically inferred from the empirical domain,1,Support,C,1,0,0,,
3320, i do not believe that we evolved from monkeys or any other animal i believe that god created us in his own image, it is very wrong we didnt evolve from apes,1,Support,C,0,1,0,,
2606,is actually quite simple,remember this is about islands claim and carters arguments,1,Support,C,0,0,1,,
2369,pvm those are merely my opinions,i cannot argue with your opinions as to what you want to believe,0,Attack,C,0,1,0,,
615,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,"Unlike all the others I actually had a job in the real world, for 20 years, Mr Farage said.",2,No Relation,C,0,0,1,,
3257,the list practically goes on,evolution has more supporting details than the theory of intelligent design,1,Support,C,0,0,1,,
4056,after all the attention and awards etc and an imdb rating of  i was so shocked to finally see this film and have it be so bad,i too was not too crazy about it there was too much music and not enough dialogue and very few surprises and the blood spurting was a little over the top,1,Support,C,0,1,0,,
2680,religion requires some kind of theology,could it be that you are biased against   religion   because i hate to break it to you but   christians   believe that the world is round so does that mean you disagree your foundation should be on whether or not your point of view is provable and truthful,1,Support,C,0,0,1,,
1313,"There's an election next month, UKIP are campaigning on the streets right now, and candidate upon candidate keeps churning out ridiculous (often racist, sexist or homophobic) views.",But senior Pakistani police sources insisted that Bhutto was still wanted in Pakistan.,2,No Relation,C,0,0,1,,
3244,hey i feel the same way almost took the brain cells out of my head,intelligent design doesnt refute evolution,1,Support,C,0,0,1,,
3804,I prefer trade to aid,Free trade is dangerous,0,Attack,C,1,0,0,,
3461,so in conclusion as the alleged science of evolution is based solely on predetermined assumptions so is the myth of global warming,in short you have nothing but faith and seek to project it where it has no place,0,Attack,C,1,0,0,,
1985,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".","The Conservatives, the Lib Dems and Labour have all been reconsidering their policies in light of this change and widespread criticism of the last government's failure to anticipate the large number of migrants from eastern Europe who came to the UK after EU enlargement in 2004.",2,No Relation,C,0,0,1,,
3119,if the   bible   is to be taken literally then wouldnt a literal interpretation include a literal interpretation of genesis,by supporting the idea that the bible stands or falls on a  day creation you have proven dr,1,Support,C,0,1,0,,
1509,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"If you come here, speak English, it's just polite, it stops racism, it stops ghettos being formed, it stops barriers in society.",2,No Relation,C,1,0,0,,
2567,not all this link was identified in my last reply    httpwww,actually the construction of the cell rather suggests chance,0,Attack,C,0,0,1,,
3305, yes yes yes the bible so contradicts that, you are under the mistaken impression that complexity and ability to buy washing machines equals more evolved,0,Attack,C,1,0,0,,
3522,if you are this closeminded impervious to logic and show this much delight in ignorance at your tender age can you imagine how much more insufferable you will be when you grow up,you throw personal insults more than i do so when will you grow up,0,Attack,C,1,0,0,,
739,"In UKIP, we have a new political force which looks likely to poll very well in a national election.","He was elected UKIP leader again in November, having stood down to campaign for a seat in the House of Commons.",2,No Relation,C,0,0,1,,
3799,I prefer trade to aid,Trade provides developing countries with an important basis for their own improvement,1,Support,C,0,1,0,,
4006,after sitting through this movie i could not fathom why it is rated so high after the clone plot is revealed the movie lacks the grip and mystery altogether,i agree with you eight points it is way too high the movie is ok i think it deserves no more than six points,1,Support,C,0,1,0,,
1364,"I and many others will be voting UKIP not because of a handful of people that have said stupid things, it will be because I identify and agree with their overarching principles.","Asked if this meant he was calling UKIP racist, he replied of course it is racist, of course, who doubts that?",0,Attack,C,1,0,0,,
3063,was the earth created in six days or six thousand years  all evidence points to a accretion of material over the course of millions of years several starting around  billion years ago,one day we all will know the truth,0,Attack,C,1,0,0,,
2129,Plenty of survey's have shown UKIP to be the most hated of the main parties.,"Explaining his decision to swap sides, Mr Campbell Bannerman - MEP for the East of England - said UKIP had become obsessed with single issue politics, internal fighting and shouting from the sidelines.",1,Support,C,0,1,0,,
403,"There's an election next month, UKIP are campaigning on the streets right now, and candidate upon candidate keeps churning out ridiculous (often racist, sexist or homophobic) views.","Other parties standing included the Trade Unionist and Socialist Coalition, which fought 120 seats, the BNP, with 99 candidates and the English Democrats, with 38 candidates.",2,No Relation,C,0,0,1,,
3070,all aig is showing is that the author of one part of the bible took the author of another part of the bible literally not that either one knew what they were talking about,of all of aigs silliness i think this one is the winner,1,Support,C,0,1,0,,
