orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
1698,therefore i dont have time to explore any other world viewsin other words religion is easy and science is hard,scientific evidence do you need i mean weve got writing from before  years ago evidence of mankinds making things over  years old,1,Support,A,1,,,
918,island statesyou pretend like the appearance doesnt beg a real scientific question because you are overreacting to your perceived motivation of idists but not because you are thinking like an honest scientist would,you are missing the point the ad hominem is not that i did not understand your argument i can see why given your limited exposure to id you may have come to that conclusion,1,Support,A,1,,,
148,UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,"UK Independence Party leader Nigel Farage has launched his party's local election manifesto, saying it is far more than just a call for a referndum.",1,Support,A,0,,,
2295,despite its price the ipad is still my favourite,you can get any other tablet for much less that has the same features,0,Attack,A,1,,,
479,"Ukip has British values, wants to get British industry kick started back to the fore front again, become more self-sufficient.",Former Europe Minister Denis MacShane said the EU was Britain's biggest trading partner.,0,Attack,A,0,,,
1870,mutation and natural selection are the two driving forces behind evolution,the bacteria mutated,0,Attack,A,1,,,
599,"In UKIP, we have a new political force which looks likely to poll very well in a national election on thursday.","Since then, UKIP's fortunes have improved and it recorded its best performance in a parliamentary by-election in Rotherham in December.",1,Support,A,0,,,
2530,US intervention in Libya lacking congressional approval was illegal,The intervention was necessary in order to protect US interests in the region,0,Attack,A,1,,,
904,attempts to teach the creationismevolution controversy to students are disingenuous promotions of activist christians,teaching creationism is comparable to teaching flat earthism,1,Support,A,1,,,
866,UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,Mr Farage has successfully broadened UKIP's appeal away from Europe.,1,Support,A,0,,,
2425,European Parliament elections should involve only one voting district all of Europe and not separate country seats,There would be much more choice,1,Support,A,0,,,
2579,everything about this was perfect i cried so hard when i watched it,the movie was perfect many people complain because they compare it to the novel and say it couldve been better but by that logic the novel is poor as anything could have been better the movie on its own is incredible,1,Support,A,0,,,
982,psyop asks rhetorically if the universe is expanding what happens when that expansion ceases first of all the expansion of our universe is an observed fact,the expansion of the universe is biblically supported,0,Attack,A,1,,,
1657,it is consistent but,science is based on what can be observed  tested,0,Attack,A,1,,,
451,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,"The Tory leadership is running scared of its backbenchers by offering to renegotiate the UK's relationship with Brussels, he said in the Observer.",1,Support,A,0,,,
1724,july  william jennings bryan the leading fundamentalist in america was questioned by clarence darrow on the accuracy of the bible,if the   bible   is to be taken literally then wouldnt a literal interpretation include a literal interpretation of genesis,1,Support,A,1,,,
1973, no scientist can give strong evidence to support evolution      your dishonesty and ignorance of science proves you are not fit to even ask the question, theres really no way yet to prove it but the precedence of the evolution of all other species including our own has led to a conclusion that we most likely came from something else,1,Support,A,1,,,
2617,did anybody else find the twist a bit silly i did it was shocking and unexpected alright but also so random ,i dont know how anyone can watch this movie and not understand the mastery of revenge they had just witnessed it couldnt have been more perfect,0,Attack,A,1,,,
614,"The problem with popularism but no substance, like UKIP represent, is that it just results in things getting worse and worse.","UKIP, which has called for withdrawal from the European Union and greater restrictions on immigration, has seen improved poll ratings this year.",0,Attack,A,1,,,
406,"I suspect that even if political parties addressed many of the concerns that UKIP raise, it wouldn't make any difference - the UKIP voter would still find something about modern Britain objectionable.",But Mr Farage said he believed the number of Tory MPs committed to EU withdrawal was really rather small and those that were should consider whether they were in the right party.,0,Attack,A,1,,,
