arg1,arg2,support,support_label,type,orig_idx,relevance human labeled
The voting age should be lowered to sixteen years,There needs to be a cut off,0,Attack,idebate,3847,0.25
an appeal to one narrow religious text isnt very persuasive,i do believe the world was created in  days,0,Attack,IAC,3123,0.25
"UKIP is a not a real party, with a clear global ideology and vision addressing all aspects of society: it is focusing on a handful of issues (all centered around membership in the EU and migrants), mostly ignoring global financial issues, health, education, security etc.",He said UKIP was clearly taking a very right wing position which pandered to an obvious anti-Europeanism.,1,Support,web,2214,0
actually im not sure its been proven,prove it my good fellowdont proven itby the way,1,Support,IAC,3211,0.25
"Despite you best efforts at pretending otherwise, UKIP are still widely disliked and untrusted by the majority of the population.","The message that only the Liberal Democrats can be relied on to build a stronger economy and a fairer society is a message which, where we communicate successfully, gains support for us.",2,No Relation,web,2247,0.25
ac grayling responds to steve fullers defence of his book dissent over descent,i agree  one of the main purposes of science is to discover truth or should be anyway,0,Attack,IAC,2580,0.25
try and quote the right text next time,luskins opinesas i discussed in my rebuttals to the first two opening statements of the national center for science education ncse some of their common debate tactics includeof course,0,Attack,IAC,2900,0.25
"Europe is no longer fit for purpose and we'd do better to be out than in, plus save a whole load of cash.","Over three million jobs in this country, directly or indirectly, depend on us being in the EU, so that is a big choice.",0,Attack,web,1646,0.5
there are some things human beings were not meant to understand because the god who created this universe is a being who is greater than all of his creation,what proof can you offer that right now we have reached the maximum limit of human knowledge  why is it at this moment that nothing more should be known why not  years ago or  years from nowi am not here to argue scripture on god because the bible tells us that the man who lacks wisdom says that there is no god psalm  verse you do realize that quoting from the bible only works when you are talking with christians,0,Attack,IAC,3076,0.5
The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,"It is a long overdue step in the right direction to bringing the NHS back round to what it was set up to be, a national health service, not an international service.",2,No Relation,web,629,0.25
just because id claims that it is scientifically relevant and in fact can lead to affect research directions does not mean that their claims are accurate and truthful especially given the simple fact that in the last  years id has failed to show much of any example that supports their claims,it is entirely misleading to imply that academic freedom is gives license to present nonscience like idthese academic freedom bills which typically work in conjunction with the science standards are written to strictly prohibit the teaching of religion creationism creation science creation facts and id,1,Support,IAC,2912,0.25
"The sooner we are out of the EU, the sooner we can start making this country great again.","This had left Labour and the Conservatives panicking, Mr Aker said, as they had not dealt with mass immigration and mass unemployment.",2,No Relation,web,238,0
UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,Labour accused the PM of trying to ditch the TV debates simply because he is too scared to defend his record.,2,No Relation,web,1847,0
The hate campaign against Eastern Europeans that was and is run by UKIP legitimises anything said against them.,"Stuart Wheeler has denied being sexist by saying women were nowhere near as good as men at games like chess, bridge and poker.",2,No Relation,web,2272,0
Cameron had it right and UKIP could tip the balance towards Labour in the crucial marginal seats in the GE where the battle will take place .,"UKIP is also hoping for a good result in Labour heartland South Shields, with Labour sources suggesting it could get as much as 30% of the vote.",1,Support,web,618,0.5
Should ukip get into government it would be fair to assume that we'll see a whole raft of right-wing policies as actual government policy.,"So they are putting up more than 900 candidates in 94% of the councils that are holding elections, more than before but certainly not a full slate.",2,No Relation,web,1020,0
I suspect when people do start to focus and the election is close UKIPs incoherent policies will be exposed.,UKIP failed to increase its number of councillors despite Mr Farage claiming it was on course for significant gains.,1,Support,web,846,0.25
"If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.","Mr Farage stood down before the last general election in a failed bid to win a Westminster seat, but regained the job in last year's leadership contest.",2,No Relation,web,816,0
if scientific inquiry has shown conclusively that genesis is at best allegorical then christians should reconsider beliefs that presume a historical interpretation of eden,doctrines such as original sin substitutionary atonement and the trinity are very well described in the bible,0,Attack,IAC,3128,0.25
marihuana is the worst smelling thing in the world legalising it would kill my sense of smell,i do not like the smell of fish that does not mean it should be illegal,0,Attack,Quaestio-it,3702,0.75
ok you are right on this point as well,tjok you are right on this point as well,0,Attack,IAC,2727,0.5
UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,"Some in the Tory ranks, who have suffered a bout of post local election shivers, will be relieved.",2,No Relation,web,1559,0
If the other parties do tackle the issues of EU and immigration I'll be more than happy to see UKIP disappear.,"This is a simple and effective way of ensuring healthcare is available to all who come to Britain as a tourist or migrant, without opening the system to abuse, Mr Aker added.",2,No Relation,web,704,0
"I don't think most people realise the benefits of free trade at all, and UKIP capitalise on peoples ignorance of the benefits of free trade as much as they can.","David Cameron, Ed Miliband and Nick Clegg said the fate of a Syrian generation hangs in the balance with four million children caught up in the civil conflict.",2,No Relation,web,282,0
scientific evidence do you need i mean weve got writing from before  years ago evidence of mankinds making things over  years old,speaking as a nonchristian this argument that the days of creation could not be allegorical simply because the author used an ordinal and the phrase evening and morning is juvenile and unconvincing,1,Support,IAC,3093,0
