orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance,relevance human labeled
770,"On voting day, this week the vast majority of the British public will not vote for UKIP.","UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",0,Attack,B,1,0,,,
2017, no it is not falling apart, this sounds like religious faith speaking,1,Support,B,1,0,,,
2192,probably bought with our taxpayer dollars and that is why jimmie carter got awarded one too,i think you are on to some thing there,1,Support,B,0,1,,,
282,If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,"But, at the 2010 general election, support dwindled to 3.1% and UKIP did not win a Westminster seat.",1,Support,B,0,1,,,
2343,this website has so much potential all it needs is a bit of advertising and when the word is spread and maybe you have made an app then it will become popular,i agree with a few functionality improvements it can be one of the best available debating websites,1,Support,B,0,1,,,
637,"Europe is no longer fit for purpose and we'd do better to be out than in, plus save a whole load of cash.","He also warned that if a proposed referendum led to the UK leaving the EU, there would be dire consequences for the country's global influence.",0,Attack,B,1,0,,,
2115,it is the other way around,so you are saying that we determine our dna do you actually think before typing,0,Attack,B,1,0,,,
2258,limassol no doubt about it it has the most beautiful beaches and the most fun places to visit,i disagree about the most beautiful beaches part,0,Attack,B,1,0,,,
1821,yes you are right it is impossible to call it a certainity but for this reasonall evidence for evolution is proven,to say that evolution has been scientifically proved would require that it be first studied then determined scientifically,0,Attack,B,1,0,,,
438,"Europe is no longer fit for purpose and we'd do better to be out than in, plus save a whole load of cash.","Mr Cameron also said he did not think it would be right for Britain - or in the national interest - to leave the EU entirely, pointing out that some 50% of nation's trade was with the EU.",0,Attack,B,1,0,,,
1209,quite well i am sure,islandcontrary to modern and variant interpretations the anthropic principle was originally formalized by carter as an ideological statement against the dogmatic nonscientific prejudices that scientists commonly harbor that cause them to consciously deny anthropic relevance in the physics so they instead tend to be willfully ignorant of just enough pertinent facts to maintain an irrational cosmological bias that leads to absurd copernicanlike projections of mediocrity that contradict what is actually observed,1,Support,B,0,1,,,
2514,I believe that opinion polls harm the democratic process,Citizens have a fundamental right to vote on whatever the basis they choose,0,Attack,B,1,0,,,
2212,sadly policy needs no law for justification the va is a law unto themselves as anyone who has delt with them finds out,well then there is grounds for a lawsuit find a group of veterans and get them to sue the va funded by the nra and take the whole organizaton to court on charges of violating federal standards,1,Support,B,0,1,,,
381,"If you want an insight into just how mad and bad UKIP are, go and read what their members, candidates and supporters write on the Telegraph.","The UK Independent Party says it is the only party which will pull the UK out of the European Union, a vital process according to them.",0,Attack,B,0,1,,,
1318,you are using the common tactic of forcing someone to disprove a negative,there is nothing wrong with asking someone to disprove a negative that is with asking someone to provide evidence contrary to a claim,0,Attack,B,1,0,,,
998,id is offered as an explanation for the complexity of life on earth which according to id proponents cannot be explained by random chance and survival of the fittest,on pandasthumb nick matzke whose contributions to dover v kitzmiller were instrumental in the stunning defeat of intelligent design and whose contributions to exposing the fallacies in behes arguments as well as the extent of ignorance of science amongst id proponents has caused much concern amongst id proponents so much that in general they have chosen to pretend in a typical creationist fashion that matzkes arguments do not exist,1,Support,B,0,1,,,
817,People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,"It is not just about UKIP it's that the British people are as interested and concerned about Europe, as they are about the economy, as they are about immigration.",1,Support,B,0,1,,,
2529,US intervention in Libya lacking congressional approval was illegal,The Libya intervention lacks sufficient international authority,1,Support,B,0,1,,,
1841,life consist of nothing but creations,to me this is a simple one evolution all the way,0,Attack,B,1,0,,,
1403,good arguments are worth far more than vehement objections,liberals will loose this battle,0,Attack,B,1,0,,,
297,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,"Earlier this week, former Conservative peer Lord Stevens joined the party, becoming UKIP's third peer, sitting alongside former party leader Lord Pearson of Rannoch and Lord Willoughby de Broke in Parliament.",1,Support,B,0,1,,,
805,If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,"More people were considering voting for UKIP at a general election than ever before, he suggested, and this current poll surge was different from previous spikes in support which were linked to European elections.",0,Attack,B,1,0,,,
2473,We should create a United Nations standing army,A United Nations standing army would be more effective in operations themselves,1,Support,B,0,1,,,
1542,to start with with i think the wikipedia page  httpen, and the lord god formed man of the dust of the ground and breathed into his nostrils the breath of life and man became a living soul,1,Support,B,0,1,,,
2045, youre right there isnt a shred of positive evidence for creationism and creationists dont even try, how com everyone here is bickering try the flood,0,Attack,B,1,0,,,
928,pvm wrote however this is false and misleading,hghlanderthis is false and misleading,0,Attack,B,0,1,,,
890, allowing creationism in schools would violate the separation of church and state a separation of church and state necessitates that public schools not be a forum for upholding the validity or truth of certain faiths,evolution has no implications for morality it describes what has happened making no judgement about whether what has happened is good nonreligious ethicists are perfectly capable of making moral judgements and they regularly do so,1,Support,B,0,1,,,
296,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.","Farage went on to say that the people who voted UKIP had to be listened to, adding that we get it.",1,Support,B,0,1,,,
1562,carbon  is not the only method of dating used to determine the age of the universe,to the  currently   voting   yes that raises six immediate questions i assume this means the sun was created first how many days did that take to even have a day how long did creating the rest of the universe take or if it took six whole days to create the earth would the creator have had time to create all the rest i mean some of these galaxies are awfully huge and with a lot of intricatekly moving interstellar dust and radiation that had to be started off precesly right to fool modern astronomers why did the creator go to all this trouble to conceal the evidence behind a massive coverup of radiological datings cosmic radiation and well essentially the entire findings of geology and astronomy as supported by chemistry and physics why create all the kinds of   animals   during these days and then conceal this astounding fact behind what to evolutionary biologists and paleontologists seem an amazingly consistent set of interlocking facts from genetics behaviour morphology biogeography extinctions speciations fossils records epidemiology and immunology that fits with life evolving according to rather well understood processes why were so much of this omitted from the bible i mean a few hints about geology to predict earthquakes or the germ theory of disease would have been rather handy to thwart the devils work and a description of relativity would have been impressive,1,Support,B,1,0,,,
708,UKIP getting a large chunk of the vote in the EU elections sends a message to Europe that they cannot take the UK membership for granted.,"It is a simple, understandable message, which has led to the party gaining bigger shares of the votes in European elections.",1,Support,B,0,1,,,
1191,anybody that thinks there is currently a healthy scientific debate over intelligent design has missed the history of the last  years,theology it says in his profile,1,Support,B,1,0,,,
1814,no thats incorrect,no that is also incorrect,0,Attack,B,0,1,,,
2108,it is much more important that you concern yourself with the destiny of your soul not how many years you can stay on the earth,i am sure it is many a doctors spiritual duty to relieve suffering just as jesus healed the sick besides who wants to go back to  year average lifespan like they have in afghanistan,0,Attack,B,1,0,,,
1309,youre right much if not all of the claims about supernatural claimspremises of id make it invalid rest on some faulty views on what supernatural actually means,natural pertaining to or part of the observable world,0,Attack,B,0,1,,,
2519,We should negotiate with terrorists,Negotiation encourages moderation,1,Support,B,0,1,,,
1905, amusing is all i can really say to cancers response, im against it   ahh i love the arguments in everyone the against it section,0,Attack,B,0,1,,,
2331,ten hour tennis marathon,maybe in fancy dress,1,Support,B,0,1,,,
709,The success Ukip had in the european elections will be sufficient to galvanise one or preferably all the other parties to rid us of the EU's political influence.,"UKIP, which has called for withdrawal from the European Union and greater restrictions on immigration, has seen improved poll ratings this year.",1,Support,B,0,1,,,
2516,I believe that opinion polls harm the democratic process,Opinion polls provide useful information to politicians,0,Attack,B,1,0,,,
743,UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,"The charge put by its deputy leader David Campbell Bannerman when he defected to the Conservatives in the wake of the May elections was that UKIP remained, at heart, a single issue pressure group.",0,Attack,B,1,0,,,
564,UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,"The charge put by its deputy leader David Campbell Bannerman when he defected to the Conservatives in the wake of the May elections was that UKIP remained, at heart, a single issue pressure group.",0,Attack,B,1,0,,,
2229,makes george carlins plan to use the state of kansas as a prison even more appealing i especially liked the board member dogma statement,yes kind of reminds me of abraham lincolns thought better to remain silent and be thought a fool than to speak out and remove all doubt,1,Support,B,0,1,,,
687,UKIP language tends to portray the real experiences of UKIP people not the politically correct fantasy construct that too many people on here seem comfortable with.,"UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",1,Support,B,0,1,,,
2114,biomorphs are an embarrassing attempt to explain just how a complex structure such as an eye might come about by gradual mutations except they only do this by fooling you into believing the program mimics a natural possibility when it can not not when you are running the program and interfering at will,no they are not you quote a web site that is not dawkins interpretations of biomorphs and suggest that the web sites interpretation is what dawkins created biomorphs for,0,Attack,B,1,0,,,
1084,needless to say even id proponents have come to realize that id is lacking scientifically speakingfor instance young earth creationist philosopher and id proponent paul nelson is on the record as saying easily the biggest challenge facing the id community is to develop a fullfledged theory of biological design,this post by casey luskin graphically illustrates why intelligent design is not science,1,Support,B,0,1,,,
1685,aig doesnt believe the geological data,there are some answers in there,1,Support,B,1,0,,,
1466,remember the question we are addressing is  does id have merit  i have explained why i think it does,jimremember the question we are addressing is does id have merit i have explained why i think it does,0,Attack,B,0,1,,,
1936, you cant make nothing out of nothing, i believe evolution did occur but god created it,1,Support,B,1,0,,,
2470,We should promote democratisation,The immense cost and effort involved in sustaining democracy across the world in countries that are not prepared to fully accept responsibility themselves does not equal the benefits,0,Attack,B,1,0,,,
