orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance,relevance human labeled
2882,jon buell the president of the foundation for thought and ethics testified in court enjoyby mr,you still have yet to provide any passages within pandas which state that god is directly implicated saying that the fte is religious therefore so is pandas,0,Attack,C,1,0,0,,
2985,very interesting summary,most of those heavy gasses were filtered out of the atmosphere before life had even emerged and the atmosphere was changed to oxygen long before plants evolved,1,Support,C,0,0,1,,
2243,"UKIP is certainly NOT racist or xenophobic - if you, as I'm you have done, read our policies on the website there is no suggestion of this at all, it is more a rumour and conspiracy of the lefties. ","He said his party was fighting a particularly difficult corner because it was pro-European in a country where the majority of people still like to see us, as it were, having a go at our European neighbours.",2,No Relation,C,1,0,0,,
2262,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,"Mr Cameron also said he did not think it would be right for Britain - or in the national interest - to leave the EU entirely, pointing out that some 50% of nation's trade was with the EU.",0,Attack,C,1,0,0,,
820,If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,"An estimate from a BBC sample of key wards suggests that average turnout was 31%, down 10 points from the last local elections in 2009.",2,No Relation,C,0,1,0,,
1645,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".","I believe that what UKIP is doing is vital for this country, and of course the party's financial management is crucial.",2,No Relation,C,1,0,0,,
2925,um this thread is months old and no one is reading it,i know this sounds crazy but in a weird way im honored to get a response from you,0,Attack,C,0,1,0,,
3987,i read the book which is subtle philosophical and nuanced at the beginning of the year and last night i watched the dvd of this film what utter rubbish the film is a boring sweary standard thriller,i agree with about ninety percent of what you said i was also let down by this movie with all the hype this movie got before it was released i was expecting a masterpiece but no it was just puppet theater,1,Support,C,0,1,0,,
1460,UKIP is the only party that has understood the damage immigration does to the UK and its policies aim at repairing this.,"And there's quite a lot of them, he added.",2,No Relation,C,0,0,1,,
4031,i didnt watch the last  minutes the movie was giving me a headache,ok so i thought it was only me but after watching this movie i had a massive headache also i thought the movie was terrible it was all over the damn place and difficult to follow,1,Support,C,0,1,0,,
1290,"The greens and ukip provide encouragement for labour and conservatives alike to address some issues people care about, albeit only lip service to retain votes mainly.",The Tories said an application to rejoin them had been rejected.,2,No Relation,C,0,0,1,,
4024,as far as acting and cinematography go this film was great but the content and plot were horrible,i respect your opinion but i feel like every reason you give is missing the point completely,0,Attack,C,1,0,0,,
1065,"As far as immigration is concerned all Ukip want is a level playing field for non EU migrants and to control the numbers so, if anything, Ukip are too soft on immigration.",Godfrey Bloom's and other UKIP party members' actions are an insult to all those who have fought against fascism.,0,Attack,C,1,0,0,,
2708,the cause of the big bang is currently unknown but it is also undergoing investigation,the ayn rand center and i agree for once about the fact that id is nothing more than bait and switch and that id at best is a religiously motivated attack on science as the di seems to admit in their own wedge document,1,Support,C,0,1,0,,
3180,hey razza for i wanna say thanks for standing up for what u believe in most people want hard evidence that will prove gods existence when really we ourselves are evidence that god exists,i have never seen an ape evolve into a human and although i have never seen god that makes more sense than evolution,0,Attack,C,0,1,0,,
2150,"It feels like UKIP is anti most things and base their politics on this: Anti-aid, Anti-immigrant – at times even anti-politics; it is therefore difficult to understand what they actually stand for and want to work towards.",UKIP leader Nigel Farage said any members proven to have extreme right wing views would be expelled.,0,Attack,C,1,0,0,,
2264,"The UKIP party is a populist party at the right end of the spectrum, which exploits people's fears of the foreign and unknown.","Therefore, if he can argue that he has taken the lead in changing Brussels for the better - and that they have joined with him in making the EU more business friendly, then there is perhaps less need to grab back some powers.",2,No Relation,C,0,0,1,,
808,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"Party officials are hoping for wins in the two mayoral contests that were also being held on Thursday, in Doncaster and North Tyneside, but there is talk of Labour seeing their majority reduced in South Shields.",2,No Relation,C,0,0,1,,
1113,If you want to understand why UKIP is extreme look at the extreme elements it attracts including far-right Hitler-apologists like retep and anti-semites like your friend in Stocksbridge.,But as one UKIP member said to me - if this is a protest vote it's a bloody big protest.,2,No Relation,C,0,0,1,,
208,I think it's far too simplistic to argue all UKIP supporters are racist - there is a real groundswell against the political establishment which over the past 20 years or so has started to converge in terms of image and policies.,"Mr Knapman took over the role of leader in 2002, but in 2004, a new pretender to the crown - former Labour MP and chat show host Robert Kilroy-Silk - arrived in a flurry of publicity to shake things up once again.",2,No Relation,C,0,0,1,,
2612,in my discussions with island i have come to the conclusion that i was mistaken in calling island an id supporter,the argument always had intuitive plausibility,1,Support,C,0,1,0,,
1654,"The sooner we are out of the EU, the sooner we can start making this country great again.",Voters in Oldham East and Saddleworth will vote in the first by-election of the coalition era on Thursday.,2,No Relation,C,0,0,1,,
954,The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,Some might dismiss this as wishful thinking from a leader who has always talked a good fight.,2,No Relation,C,1,0,0,,
3049,the absence of a creator is not an assumption of the sciences,the notion that science assumes that theirsic is no creator and then prove it is plainly ridiculous,1,Support,C,0,1,0,,
545,"UKIP are just trying to stir up fear, using peoples fears and prejudice to gain votes so that they can get their snouts into the trough.","We can only stir it up because it is already there, red hot and seething against us.",0,Attack,C,1,0,0,,
3330, you cant make nothing out of nothing, i believe evolution did occur but god created it,1,Support,C,1,0,0,,
654,"If UKIP don't like being smeared, then they need to stop smearing, stigmatising, and fear mongering about others.","By the time the electorate had had its say four years ago, it was left with just three.",2,No Relation,C,0,0,1,,
676,If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,They might be voting for UKIP because they want to have a referendum on Europe.,0,Attack,C,1,0,0,,
2388,saying there are experts on intelligent design is like saying there are experts on astrology,what always gets me with the intelligent design crowd is that in their aim of inserting an external designer into the mix of biological science they seem to miss or deliberately avoid one glaring fact  once life exists with varying degrees of success life designs itself according to the rules established by its environment and its own specific nature,1,Support,C,0,1,0,,
2174,"UKIP will lead the UK to independence from the oppressive EU, which is the only chance Britain has at restoring its former glory.","In contrast, the Liberal Democrat's Bill Newton Dunn quit the Tories in protest at its increasing hostility to Europe.",0,Attack,C,0,0,1,,
1704,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,"Foreign Secretary William Hague has meanwhile ruled out an electoral pact with UKIP, after a BBC poll suggested nearly 25% of Conservative councillors were in favour of such a deal.",0,Attack,C,0,1,0,,
2146,"The whole UKIP-for-the-working-class narrative is utterly insane since, if we left the EU, the poor would still be competing with cheap foreign labor.","In contrast, the Liberal Democrat's Bill Newton Dunn quit the Tories in protest at its increasing hostility to Europe.",2,No Relation,C,0,0,1,,
2025,Whether UKIP can deliver on their promises if they were to win power at the next general election is a moot point because they will not win power.,"Therefore, if he can argue that he has taken the lead in changing Brussels for the better - and that they have joined with him in making the EU more business friendly, then there is perhaps less need to grab back some powers.",2,No Relation,C,1,0,0,,
737,The success Ukip had in the european elections will be sufficient to galvanise one or preferably all the other parties to rid us of the EU's political influence.,The first is to introduce a mechanism to recall councillors if 20% of registered voters in their ward request it.,2,No Relation,C,0,0,1,,
1554,"The ratio of nutters in UKIP is far higher than in other parties, especially so since they seem determined to take all the Tories' fruitcakes off them.","Immigration has also been an issue and UKIP, which rejects charges of being racist, sees the EU question being at the heart of it.",0,Attack,C,0,1,0,,
553,"I would say it's the anti-ukip brigade who have no substance to their argument (or facts), they simply shout ""racist"" with nothing to substantiate this slur, or become crude and insulting.","The 2009 poll saw UKIP's total grow to 13 seats, pushing Labour into third place with 16% of the vote.",1,Support,C,0,0,1,,
3085,the scripture is silent as to which locale in the spacetime continuum the author of the account was measuring time from on the first day of creation,one thing for sure time was and continues to be passing differently in different parts of the universe,1,Support,C,0,1,0,,
477,"Any of the ""working class"" who believe UKIP will represent them have not read a UKIP manifesto!","Demetri Marchessini, who has made two donations totalling £10,000 to UKIP, is a conservative nut case who wrote a book arguing women who wear trousers are demonstrating hostile behaviour.",1,Support,C,0,1,0,,
1833,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".",UKIP has evolved over the two decades since it was created from an anti-EU pressure group into a fully fledged party which has now proved that it can succeed beyond European elections.,0,Attack,C,1,0,0,,
2144,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,"According to the Daily Telegraph, Mr Farage suggested to Mr Murdoch at the meal that he would form an electoral pact with the Conservatives if David Cameron stood down as leader.",1,Support,C,0,1,0,,
2991,you havent made a point at all,and i understand that god knows every future event before it ever occurs,0,Attack,C,0,0,1,,
1695,UKIP getting a large chunk of the vote in the EU elections sends a message to Europe that they cannot take the UK membership for granted.,"More people were considering voting for UKIP at a general election than ever before, he suggested, and this current poll surge was different from previous spikes in support which were linked to European elections.",1,Support,C,0,1,0,,
703,"I and many others will be voting UKIP not because of a handful of people that have said stupid things, it will be because I identify and agree with their overarching principles.",Shadow minister Diane Abbott does not see UKIP as a real threat at the next election.,0,Attack,C,0,0,1,,
3402, then again i often wondered as a child why and how the whole universe was created in the first place, evidence indicating intelligent design is abundant and overwhelming,1,Support,C,0,1,0,,
809,I'm no fan of UKIP but well done to them for initiating a much needed shake up of British politics.,"The pair spoke to Andrew Neil about the problems across the eurozone as it was revealed the Greek PM had offered to resign, and UKIP's Lord Hesketh later joined the debate.",2,No Relation,C,0,0,1,,
3994,rarely have i watched and rewatched a movie with such spectacular cinematography,the action scenes convey a level of realism seldom seen in action films,1,Support,C,0,1,0,,
256,"The UKIP party is a populist party at the right end of the spectrum, which exploits people's fears of the foreign and unknown.","But, even if they declined, he said he would take on the Lib Dem leader in a head-to-head duel, adding it's on.",2,No Relation,C,0,0,1,,
1557,"UKIP is a one man's party: its leader, Nigel Farage is running the show - I cannot think of any other party member having expressed any opinion publicly and I wonder whether this is because none of the other party member is ""presentable"".",Mr Farage has a network of unofficial party offices embedded in every community in the country.,0,Attack,C,1,0,0,,
1297,"I don't necessarily think Nigel Farage is worthy of PM, I think they need a new leader.","It's not about turning left or turning right, it's turning off, warned shadow leader of the House of Commons, speaking of the blow the coalition government had taken during the week.",2,No Relation,C,0,0,1,,
3609,is not it amazing how quickly creationists will accept natural selection and superfast evolution when it supports their beliefs,another of my favorites is how they loudly criticize radiometric dating most commonly radiocarbon dating because they know no other kind then shout from the rooftops that radiometric dating confirms the genuineness of two tousand year old manuscripts,1,Support,C,0,1,0,,
614,"I don't necessarily think Nigel Farage is worthy of PM, I think they need a new leader.","Over three million jobs in this country, directly or indirectly, depend on us being in the EU, so that is a big choice.",2,No Relation,C,0,0,1,,
3394, there are documented cases of specific species adapting over time, i think  the case against evolution is wrong and misinformed,1,Support,C,0,1,0,,
986,"If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.","Evil is at its most destructive when it passes from the individual to the collective, he added.",2,No Relation,C,0,0,1,,
1336,Many racists and especially xenophobes find the UKIP message appealing.,"But he reserves his greatest enthusiasm for touring World War I battlefields, with a group of close friends who call themselves Farage's Foragers.",2,No Relation,C,0,0,1,,
2086,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,But he said there were still major differences such as grammar schools and windmills dividing the Conservatives and UKIP as he spoke to Jo Coburn about talks of a pact suggested by Conservative MP Michael Fabricant.,2,No Relation,C,0,1,0,,
2915,the national center for science education has a good reason to be concerned about intelligent design,perhaps what is needed is to distinguish between academic freedom and peer review,1,Support,C,0,0,1,,
1307,UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,"Alluding to the comments, he will refer to public pronouncements that I would not always choose myself.",2,No Relation,C,0,0,1,,
2015,UKIP are the only party willing to have a sensible open debate on the key issues affecting the country. ,"UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",1,Support,C,0,1,0,,
2711,in science testing a hypothesis or theory means deriving predictions from them,you are using the common tactic of forcing someone to disprove a negative,0,Attack,C,1,0,0,,
2484,i am always tickled by claims of id advocates that darwinism stifles inquiry and that only id creationism will break the shackles that darwinism puts on the mind that id creationism will open avenues of insight into practically everything,it also means that scientists who hold legitimate scientific views deserve to be heard even if their views differ from the consensus,1,Support,C,0,1,0,,
3799,I prefer trade to aid,Trade provides developing countries with an important basis for their own improvement,1,Support,C,0,1,0,,
489,Support for UKIP simply indicates that people have noticed that the major parties do not represent their interests.,"But if you're looking for a serious politician, with a strategic brain, who is able to lead a party and develop and expand a party, well,you won't find them at UKIP",0,Attack,C,1,0,0,,
744,"UKIP appeal to the 'working class' and many of the those who have not bothered voting for a long time, come the general election it won't just be the Tories who feel the hit.",But suddenly he switches to UKIP and continues the same thing and gets on the national news.,2,No Relation,C,0,0,1,,
761,"If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.","The Times newspaper reported that Conservative Party officials have already been dispatched to the seat to lay the groundwork for their campaign, with fear of UKIP snatching the seat taking hold.",1,Support,C,0,1,0,,
2477,this whole argument is just using flaws in our definitions,needless to say even id proponents have come to realize that id is lacking scientifically speakingfor instance young earth creationist philosopher and id proponent paul nelson is on the record as saying easily the biggest challenge facing the id community is to develop a fullfledged theory of biological design,1,Support,C,0,1,0,,
2391,oasthadare we machines choosing between incorrect and correct responses or are we sentient being choosing between good and evil how could you not teach thisthats a good topic for sunday school,id is offered as an explanation for the complexity of life on earth which according to id proponents cannot be explained by random chance and survival of the fittest,1,Support,C,0,0,1,,
2993,so god is not omniscient,is god all powerful no because he gave that up when he gave mankind free will,1,Support,C,0,1,0,,
3311, all animals share the same dna so we must be related if you look at the evidence something religious people dont do you will see that there is more evidence for it than against it, you dont have to believe anything,1,Support,C,1,0,0,,
1961,"UKIP are a fairly right wing group as I'm sure will become clear when they actually produce some policies other than the ""its all the eu's"" fault.",It has been a key part of his strategy to distance the party from the far right - its constitution bans former BNP members from joining.,0,Attack,C,1,0,0,,
2834,the ncses response to id is that about  scientist dont believe in id and you shouldnt either,its not about believing in id many people have come to accept by faith the existence of a god but rather that scientists do not believe that id has much of anything to offer scientifically speaking,0,Attack,C,0,1,0,,
3495,oh and i see you are still equating atheist with anyone who does not believe as i do,and i see you still flip back and forth from being an atheist to not being an atheist,0,Attack,C,1,0,0,,
2784,joe gnow you are just lying,einsteinit was of course a lie what you read about my religious convictions a lie which is being systematically repeated,1,Support,C,0,1,0,,
3087,but what have ancient scriptures ultimately proven,include the transmission of the biblical text,1,Support,C,0,1,0,,
1886,"The sooner we are out of the EU, the sooner we can start making this country great again.","Mr Cameron said there was lots of time for negotiation over the exact format of the broadcasts before the election scheduled for May 2015 - but made it clear the TV clashes should be restricted to himself, Mr Clegg and Labour leader Ed Miliband.",2,No Relation,C,0,0,1,,
1161,Plenty of survey's have shown UKIP to be the most hated of the main parties.,"Mr Farage, whose party wants the UK to pull out of the EU, said the budget proposal illustrated how out of touch those running the organisation were.",2,No Relation,C,0,1,0,,
264,If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,It's sad how anybody can be offended by a reference to a country that doesn't exist.,2,No Relation,C,0,0,1,,
1287,"For many UKIP voters, it does not particularly matter what the party's policies are, but that UKIP is not Labour or Conservative.","Ex-leader Lord Pearson announced his intention to quit in August, saying he was not much good at party politics.",2,No Relation,C,0,0,1,,
2270,"The whole UKIP-for-the-working-class narrative is utterly insane since, if we left the EU, the poor would still be competing with cheap foreign labor.",Mr Farage has successfully broadened UKIP's appeal away from Europe.,0,Attack,C,1,0,0,,
1830,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.","They will each have plenty of opportunities to publicly debate the party's performance, and to make the case against the return of Nigel Farage.",0,Attack,C,1,0,0,,
3026,i would like your oppinion of my remarks    httpwww,obviously you havent done much reading on the aig website,0,Attack,C,1,0,0,,
3729,what about a second hand book sale,a carboot sale would be good as well,1,Support,C,0,1,0,,
3602,is it religion,yes it is see below,1,Support,C,0,1,0,,
3882,The US should ban cluster bombs,Cluster Bombs Have Significant Strategic Value,0,Attack,C,1,0,0,,
2566,its funny because i already named some provided resources to find them and yet you seemed to dodge the argument altogetherfollowed by the usual nonsense,not all this link was identified in my last reply    httpwww,0,Attack,C,1,0,0,,
