orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
2561,Governments should be allowed to disrupt Internet service on grounds of national security,The internet is a threat to public safety,1,Support,A,0,,,
1762,quite so well as christians themselves,the christian faith is a mockery to humankind,1,Support,A,1,,,
2197,surely the theory of evolution cannot predict whether a species is extinct or not,you are correct that fossil species have gone extinct is an observation,1,Support,A,0,,,
2581,i remember being underwhelmed when this first came out but enough time had passed when i caught it on tv so perhaps i had just been in the wrong mood back then maybe this time ill enjoy it but no,brilliant film disliked by people with no imagination,0,Attack,A,1,,,
714,People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,"UKIP's two biggest policy themes - withdrawal from the European Union and the impact of immigration - enjoy a prominence in mainstream political debate never seen before, our correspondent adds.",1,Support,A,0,,,
1330,the congressional report comes from the similar sources that have denied the existence or problems of global warming as well,eventually they the smithsonian higherups determined that they could not terminate you sternberg for cause and they were not going to make you a martyr by firing you for publishing a paper on id,1,Support,A,0,,,
1037,i grant your point sir,i appreciate your contributions as they provide an independent view into why so many have come to accept the scientific vacuity of id,1,Support,A,1,,,
2545,We should force think tanks to reveal all of their sources for resource funding,Think tanks may become smoke screens for criminal groups,1,Support,A,0,,,
1556,its not that cut and dried,look at it like this,0,Attack,A,0,,,
2570,im not saying its a bad movie but its no where near as special as it has been made out to be,the pacing can be slow at times but overall watch it again and think about it yeah this film is pretty awesome is what will come to mind,0,Attack,A,1,,,
2432,European Parliament elections should involve only one voting district all of Europe and not separate country seats,Some countries may be left without representation,0,Attack,A,1,,,
2267,nowadays you ca not find food that is  percent healthy and natural stories do not really make me change my habits just make me hesitate sometimes,but you can find food that is  percent unhealthy and unnatural,0,Attack,A,0,,,
1465,id may assert but as a science their contributions remain largely with content,remember the question we are addressing is  does id have merit  i have explained why i think it does,0,Attack,A,1,,,
266,The more the 'mainstream' parties smear and lie about UKIP the more their support rises.,"UKIP recorded their best ever Westminster election performance and brought humiliation to the Conservative candidate, in the process triggering a debate within the party about how to deal with their rivals.",1,Support,A,0,,,
2118,what is wrong with god being the explanation for the unexplainable comfort for those afraid of death and the meaning for life,well nothing other than the fact that i do not believe it to be true,0,Attack,A,1,,,
349,The only reason we are even having a sensible debate about Europe are UKIP.,A UKIP candidate in Somerset has been suspended from the party after photos of him apparently making a Nazi-style salute appeared on his Facebook page.,0,Attack,A,1,,,
44,"I sense that Farage is a total megalomaniac, a charlatan, someone who is in it for the attention and the glory and that in a strange way, that many UKIP voters know this but don't seem to mind.",Nigel Farage understood people want us to do even more for hard-working people.,0,Attack,A,1,,,
330,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".",There's more to UKIP than our policy of wanting to withdraw from the European Union and we will show that.,0,Attack,A,1,,,
1915, look there is no proof that god or any thing in the bible existed where as there is proof to suggest that we are related to monkeys as we have the same arm structure and the same bioorganisms, its impossible to argue with you people,1,Support,A,1,,,
999,on pandasthumb nick matzke whose contributions to dover v kitzmiller were instrumental in the stunning defeat of intelligent design and whose contributions to exposing the fallacies in behes arguments as well as the extent of ignorance of science amongst id proponents has caused much concern amongst id proponents so much that in general they have chosen to pretend in a typical creationist fashion that matzkes arguments do not exist,i read the entire article,0,Attack,A,0,,,
882, evolution is unobserved it is an unproven theory  the term evolution can describe a number of things some of which are directly observable while others are not,the theory of evolution is not falsifiable,1,Support,A,1,,,
184,Only an idiot would think a UKIP win would result in withdrawal from the EU the day after.,"If you want to have a managed migration policy, you cannot remain a member of the European Union.",0,Attack,A,1,,,
329,Cameron had it right and UKIP could tip the balance towards Labour in the crucial marginal seats in the GE where the battle will take place .,"In a letter to the Daily Telegraph, which first highlighted his blog posts, Cameron gives a further defence of his views.",1,Support,A,0,,,
65,The more the 'mainstream' parties smear and lie about UKIP the more their support rises.,UKIP leader Nigel Farage said politics has changed a lot since 2010 and excluding his party would probably give us the benefit of the underdog.,1,Support,A,0,,,
2322,usually the best city in every country is the capital so i would go for madrid ,i would love to go there as well,1,Support,A,0,,,
1186,ac grayling responds to steve fullers defence of his book dissent over descent,i agree  one of the main purposes of science is to discover truth or should be anyway,0,Attack,A,0,,,
1292,caseyeven the widelytouted theistic evolutionary biologist kenneth miller has claimed in five editions of his popular high school biology textbooks that the implication of evolution is that it works without either plan or purpose and is random and undirected,pandasthumb also explored these accusations    httpwww,1,Support,A,0,,,
736,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,Sir Menzies Campbell suggested the government was worried about a political backlash amid public concerns about immigration levels in general.,1,Support,A,0,,,
1722,the young earth creationist dogma demands that the obvious features of the earths geology can not exist,you didnt read this  creation ex nihilo and the earth  did you,0,Attack,A,1,,,
1831,its all a theory,if man evolved from apes then why is there still apes to evolve is to change and the ape didnt,1,Support,A,1,,,
238,"I don't see UKIP as being far right, they're just further right than the rest who have congregated arund the middle ground.","The whole political scene is changing; it's changing because of the strength of UKIP, and I'm pleased about that.",1,Support,A,0,,,
415,A forensic examination of UKIP's policies would nail once and for all the Establishment lie that they're a bunch of swivel-eyed racists and sexists.,But UKIP MEP Godfrey Bloom told the same event he and party leader leader Nigel Farage wanted an invitation to a bunga bunga party hosted by former Italian prime minister Silvio Berlusconi.,0,Attack,A,1,,,
1219,the argument always had intuitive plausibility,you gave  claims of intelligent design intelligent agents sometimes leave traces of their activity behind like fingerprints on evidence,0,Attack,A,0,,,
2192,probably bought with our taxpayer dollars and that is why jimmie carter got awarded one too,i think you are on to some thing there,1,Support,A,0,,,
189,People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,"Isolating Britain and damaging Britain's reputation is not the right history to write, he said.",0,Attack,A,0,,,
1766,in a literal translation genesis  and  state that god created the heavens and the earth in six days,as has already been covered,0,Attack,A,1,,,
2299,i have had some bad experience with the reliability of samsung products,i am really satisfied with my samsung television and i did not have any problems until now it has the best image quality and great customer support,0,Attack,A,1,,,
272,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"We have really connected with voters in this constituency, Farage told the BBC.",0,Attack,A,0,,,
335,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,"We simply cannot go to the British people and say to them support the European Union, we are going to reform it in the future.",0,Attack,A,1,,,
1637,one of the major problems that we all have in fact its the same problem adam and eve had in the garden of eden is that we tend to start from outside gods word and then go to what god has written in the bible orin adams casewhat god forbade him to do to try to interpret it on the basis of our own preset ideas,i dont see what is so hard about it,0,Attack,A,1,,,
903,teaching creationism is in no way akin to child abuse,attempts to teach the creationismevolution controversy to students are disingenuous promotions of activist christians,0,Attack,A,1,,,
1319,there is nothing wrong with asking someone to disprove a negative that is with asking someone to provide evidence contrary to a claim,casey luskinfirst the ayn rand institutes arguments offend the first amendments protections on religious freedom scientists have freedom of religion and their scientific views should not be disqualified due to their alleged religious motives or beliefs,0,Attack,A,0,,,
1612,which do you believe they are after all both based on books written by men,i actively attend the origins conferences hosted by a variety of different organizations including christian universities reasons to believe and most recently the skeptic society,1,Support,A,0,,,
1122,hilarious,but what about your opinion on idid is ridiculously and obviously not   science  ,0,Attack,A,1,,,
855,The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,The Bulgarian President Rosen Plevneliev has warned that Britain's immigration policy could harm its image as a great global power that pioneered integration.,1,Support,A,0,,,
1679,if the sevenday week is relevant shouldnt the names of the days be relevant as well specifically the days named after pagan godsodins day thors day freyas day etc,human beings added names to the days of week they were originally and simply numbers,0,Attack,A,1,,,
537,"In UKIP, we have a new political force which looks likely to poll very well in a national election on thursday.","Mr Farage, speaking to the BBC's Len Tingle, said the election result represented significant progress.",1,Support,A,0,,,
1696,your argument breaks down if your audience rejects the notion that adam was created ex nihilo with the appearance of age,with all due respects here is my bottom line though i run the risk of being arrogan and closedminded i only write for the judeochristian world view,0,Attack,A,0,,,
1044,casey luskin knows how to use impressive multisyllabic words to suggest that hes intelligent,all human design and resulting construction starts with what exists a designer and things entities,1,Support,A,0,,,
1793,i agreed with you up until reasonable doubt,therefore your usurpation of supposed assumption of stated opinion cannot be proven or supported by evidence but is not substantial enough to answer the question specifically,1,Support,A,0,,,
1083,this whole argument is just using flaws in our definitions,needless to say even id proponents have come to realize that id is lacking scientifically speakingfor instance young earth creationist philosopher and id proponent paul nelson is on the record as saying easily the biggest challenge facing the id community is to develop a fullfledged theory of biological design,1,Support,A,1,,,
2626,as far as acting and cinematography go this film was great but the content and plot were horrible,it was not made to be just a family movie it was also meant to be serious movie with a mix of realism and fantasy combined for mature viewers most specially that what makes the movie special,0,Attack,A,1,,,
722,"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.","I was delighted to cast my vote for [UKIP leader] Nigel Farage's team in Sussex, where I live, said Lynam.",0,Attack,A,1,,,
2605,you are right it should be a nine stars hands down,agreed i thought this was a hell of a movie,1,Support,A,0,,,
1012,i really have to give the antiiders credit you have a lot of faith,while in science you cannot prove or falsify the existence of god and id doesnt change that i agree that when it comes to blind faith dawkins and pz myers are guilty of the same thing,1,Support,A,0,,,
1876,evolution has not been proven,there is no actual absolute proof of evolution as some of the people here have stated,1,Support,A,0,,,
1520,islandno as i said they are typically by law strictly prohibitive of id creationism which is a huge difference that you dont want to willingly acknowledge,the national center for science education has a good reason to be concerned about intelligent design,1,Support,A,1,,,
1632,i would like your oppinion of my remarks    httpwww,obviously you havent done much reading on the aig website,0,Attack,A,1,,,
745,"I don't think most people realise the benefits of free trade at all, and UKIP capitalise on peoples ignorance of the benefits of free trade as much as they can.","UKIP says there should still be a free trade agreement with other European countries, without the existing political links.",0,Attack,A,1,,,
1713,the fact that we do not know i believe only gives more power to godyes  our ignorance proves that there is a god  or maybe not,imagine you found a grain of rice and you wanted to measure its length,1,Support,A,0,,,
2271,not london for sure,why not london has it all culture fun exhibitions parks what more do you want,0,Attack,A,1,,,
1407,daveis there credible scientific evidence that life was designed yes,as to the ncse not wanting to discuss somehow i see few id proponents on this group and behe seems to have ignored matzkes excellent critiques,0,Attack,A,0,,,
1731,are we really arrogant enough to think that a day to us equals a day to god the thing is the bible never says how long a day is,in genesis we have no reason to believe that one day meant any more than one day today,0,Attack,A,1,,,
