orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
2807,who the designer is has nothing to do with it and everyone knows that,tjwho the designer is has nothing to do with id theory and everyone knows that,0,Attack,C,0,1,0,
3408, i agree that it is slowly falling apart, you know a debate like this can be put up to get intelligent information exchange,1,Support,C,0,0,1,
2268,UKIP are in with the City as much as the other three and I don't like the way they are whipping people up into a frenzy.,"The Conservatives have argued the surge in support for UKIP was essentially a protest vote, but Mr Farage dismissed this as the default position of the political establishment.",2,No Relation,C,0,0,1,
1769,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.",For Nigel Farage convincing his fiercest critics among UKIP's members and its estranged onetime supporters that he remains the right man to lead the party may be difficult.,0,Attack,C,1,0,0,
2386,jumpstart helps us understand the eliminative nature of idit is difficult even improbable to imagine how such a process could happen without being jump started,how did life begin ,0,Attack,C,0,0,1,
424,"I don't believe Farage is a racist and I don't believe the UKIP policies are racist, but I do think they will be the party that attracts most support from racists.","But the MP resigned his seat after pleading guilty to falsely claiming Â£14,000 in parliamentary expenses.",2,No Relation,C,0,0,1,
2890,i changed my mind and felt somewhat angry when i realized just what those early drafts meantyou mean you accepted the attempt to reconcile the early drafts while ignoring the facts sadly you seem to have fallen victim of di propaganda,you mean you accepted the attempt to reconcile the early drafts while ignoring the facts sadly you seem to have fallen victim of di propaganda,0,Attack,C,0,1,0,
418,The only reason we are even having a sensible debate about Europe are UKIP.,"The Bow group, which bills itself as the Conservative Party's oldest think tank, says under David Cameron party membership has halved, with the average age being 68.",2,No Relation,C,0,0,1,
2089,"The ratio of nutters in UKIP is far higher than in other parties, especially so since they seem determined to take all the Tories' fruitcakes off them.",Amjad Bashir was responding to comments on Wednesday's Daily Politics from ex-deputy PM Lord Heseltine that UKIP was a racist party.,1,Support,C,0,0,1,
3007,i actively attend the origins conferences hosted by a variety of different organizations including christian universities reasons to believe and most recently the skeptic society,have you been to the icr facility to watch their presentationicr teaches hilarious nonsense,1,Support,C,1,0,0,
2285,evolution has no implications for morality it describes what has happened making no judgement about whether what has happened is good nonreligious ethicists are perfectly capable of making moral judgements and they regularly do so,creationism makes a false historicalscientific claim that is detached from the broader precepts of belief in god,1,Support,C,1,0,0,
1921,UKIP is the only party that has understood the damage immigration does to the UK and its policies aim at repairing this.,The number of immigrants arriving in the country remained virtually unaltered over the period.,0,Attack,C,1,0,0,
3529,i believe abortion is a crime against humanity and should be outlawed,i think the same about religion why should you get your way and tryannise women and i not get mine,0,Attack,C,1,0,0,
774,"There's an election next month, UKIP are campaigning on the streets right now, and candidate upon candidate keeps churning out ridiculous (often racist, sexist or homophobic) views.","Labour candidate Sarah Champion won in Rotherham with 9,866 votes to UKIP candidate Jane Collins' 4,648.",2,No Relation,C,1,0,0,
1533,UKIP is not at all taking into account the financial effects of leaving the EU: Europe is the main market for the UK. ,"Over three million jobs in this country, directly or indirectly, depend on us being in the EU, so that is a big choice.",1,Support,C,0,1,0,
3630,sometimes the state of the education system in the usa makes me cry,sometimes the state of the public education system in the us is downright criminally neglectful,1,Support,C,0,1,0,
2269,"The UKIP party is a populist party at the right end of the spectrum, which exploits people's fears of the foreign and unknown.",Mr Cameron has promised an in/out referendum after he has negotiated the return of some powers - so far unspecified - from Brussels.,2,No Relation,C,0,0,1,
1578,"UKIP's position is not reasonable, but racists and proto-fascist, considering they have nothing to say about the finance capital bombing of the economy, but to put all the blame for Europe's woes onto immigration.","Mr Cameron also said he did not think it would be right for Britain - or in the national interest - to leave the EU entirely, pointing out that some 50% of nation's trade was with the EU.",2,No Relation,C,1,0,0,
3478,so we all deserve to be tortured for ever for beleiving in evolution,tortured you shut your mouth if you are not a christian then yes i will pray for you,0,Attack,C,1,0,0,
1622,UKIP will not improve public services.,"We saw mass, uncontrolled immigration changing communities in a way people didn't feel comfortable with, putting huge pressure on public services.",0,Attack,C,1,0,0,
3566,a well regulated militia being necessary to the security of a free state the right of the people to keep and bear arms shall not be infringed the individual right to keep and bear arms shall not be denied or infringed by the state or a political subdivision of the state,other states have made similar revisions i would encourage people in states that have not to push their elected officials to do so,1,Support,C,0,0,1,
775,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,"Asked about UKIP's future, Mr Titford said he was convinced the party would build on existing support to become a significant force in the British political landscape.",1,Support,C,0,0,1,
1308,Many racists and especially xenophobes find the UKIP message appealing.,Winning candidate Dan Jarvis said it sent a message to the coalition but Lib Dem leader Nick Clegg said people should not write off the party.,2,No Relation,C,0,0,1,
200,I think it's far too simplistic to argue all UKIP supporters are racist - there is a real groundswell against the political establishment which over the past 20 years or so has started to converge in terms of image and policies.,"I am not going to sell this party short over any political deal, there is absolutely no way on earth I would do that, he told activists.",2,No Relation,C,0,1,0,
3907,I believe that opinion polls harm the democratic process,Citizens should be respected for their opinions,0,Attack,C,0,0,1,
3276,intelligent design is the conclusion of deductive reasoning,faith is believeing in something without evidence,0,Attack,C,1,0,0,
2327,naming two well known id proponents does not a citation make to support pvms twisted version of id arguments,seems highlander was somewhat quick in his response as i am more than willing to support my claims,0,Attack,C,1,0,0,
1394,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,Police and crime commissioners will be tasked with cutting crime and delivering an effective and efficient police service in their force area.,2,No Relation,C,0,0,1,
18,Hopefully we will see our first UKIP MP before the general elections next year.,I frankly thought it was so funny that when a journalist friend rang me and I told them about it they said they would write the story.,2,No Relation,C,0,0,1,
71,I suspect when people do start to focus and the election is close UKIPs incoherent policies will be exposed.,The Green pitch to the electorate is in part quite traditional - promises that their councillors will protect the greenbelt and oppose incinerators.,2,No Relation,C,0,0,1,
2373,i dont really care  ,currently   science   feels its accelerating,1,Support,C,0,0,1,
4007,this movie absolutely fell flat after the discovery at the crash site was made,i actually really loved moon i was invested the entire way through,0,Attack,C,1,0,0,
2310,richard dawkins,the proiders claim that id uses scientific method infers design by testing positive predictionsdiscovery institute on id uses scien,1,Support,C,0,0,1,
38,"The sooner we are out of the EU, the sooner we can start making this country great again.","My prediction is, that over the next year or two, as the European debate gathers pace in this country, the issue of immigration and border controls will become the absolute key to the whole thing.",1,Support,C,0,0,1,
4049,i turned this movie off halfway through because i was bored out of my skull then i come here and its got a high rating granted its got a good storyline good acting nice cinematography but somehow still managed to bore me to tears,have to agree brian theres a whole half hour of boring as he goes across the expanse of the desert that could be edited out,1,Support,C,0,1,0,
1585,"The problem with popularism but no substance, like UKIP represent, is that it just results in things getting worse and worse.",The group suggest that within five years UKIP will have more members than the Tories at the current rate of attrition.,0,Attack,C,0,0,1,
3782,i recommend to perform a filling process simulation with moldex soft,yes indeed the filling simulation showed a certain degradation at the hinge area but at an acceptable level,1,Support,C,0,1,0,
2050,"If we leave the EU we will save billions of pounds which can then be invested in our ailing national infrastructure, notably the NHS.","Mr Cameron also said he did not think it would be right for Britain - or in the national interest - to leave the EU entirely, pointing out that some 50% of nation's trade was with the EU.",0,Attack,C,1,0,0,
1870,"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.",One Conservative MP has suggested his party consider a pact with UKIP at the next election.,2,No Relation,C,0,0,1,
2190,"I would say it's the anti-ukip brigade who have no substance to their argument (or facts), they simply shout ""racist"" with nothing to substantiate this slur, or become crude and insulting.","All [the prime minister's] doing is trying to curry favour, he continued.",2,No Relation,C,0,0,1,
3483,he was not discussing abortion nor was he promoting it,and you fail to answer the question,0,Attack,C,0,0,1,
3807,We should grant politicians immunity from prosecution,Giving politicians immunity from prosecution allows them to focus on performing their duties,1,Support,C,0,1,0,
423,Intellectually I rate Farage much higher than Cameron; he has a very sharp and quick wit and is an excellent public speaker.,"To steal Lib Dem support, UKIP is trying to establish a more youthful base, helped by Nigel Farage's appeal.",1,Support,C,0,0,1,
150,The more the 'mainstream' parties smear and lie about UKIP the more their support rises.,Journalists were not the only people who made the former Conservative peer's election an uncomfortable experience.,2,No Relation,C,0,0,1,
457,Should ukip get into government it would be fair to assume that we'll see a whole raft of right-wing policies as actual government policy.,"Asked whether he would seek re-election as leader, he said he would have to decide whether he had the strength to do the job.",2,No Relation,C,0,0,1,
166,Should ukip get into government it would be fair to assume that we'll see a whole raft of right-wing policies as actual government policy.,The economy is on the right track and we are going to see our plan through.,2,No Relation,C,0,0,1,
1552,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,"We're not going to do a pact with UKIP anymore than I'm going to do a pact with the Lib Dems and go into the next election with them, said Mr Shapps.",0,Attack,C,1,0,0,
3571,did a famous gangster not once escape from jail using a gun he carved from soap maybe oz should ban bars of soap,yea that was uncle john,1,Support,C,0,1,0,
1173,"It's true that UKIP dont have ideas to suit everyone, but at the moment they are heads above the pillocks at No 10 today.",The UKIP leader had told the Guardian that there was no way his party could work with Mr Cameron under any circumstances.,1,Support,C,0,1,0,
3093,scientific evidence do you need i mean weve got writing from before  years ago evidence of mankinds making things over  years old,speaking as a nonchristian this argument that the days of creation could not be allegorical simply because the author used an ordinal and the phrase evening and morning is juvenile and unconvincing,1,Support,C,1,0,0,
3971,animal kingdom is better than the town and winters bonei have just seen animal kingdom and wow what an awesome movie it was,it certainly is and its a crime this didnt get a bigger push i think mainstream audiences would have loved it easily one of the best films of the year,1,Support,C,0,1,0,
2405,just as advances in genetic and protein research and mathematics are enabling us to understand and explain how evolution works a growing number of our society are rejecting science in favor of myth and fake science,i really have to give the antiiders credit you have a lot of faith,0,Attack,C,0,0,1,
