orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance,relevance human labeled
1611,UKIP do have more than Nigel Farage able to deal with media interviews.,"We understand the internal divisions in the Conservative Party that give rise to this sort of debate, the party said.",2,No Relation,C,0,0,1,,
3681,but if we get this right we will waste less research time with dodgy students we wish we had rejected at interview,but interviews basically do not work very well,0,Attack,C,1,0,0,,
1103,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,There'd always be a very politically incorrect atmosphere that just relaxed everybody.,2,No Relation,C,0,0,1,,
2541,icdesig,we absolutely exclude natural selection as a designerthe real trick is convincing the public that macroevolution is a scientific fact when it has never been observed which is a requirement for sciencei dont know where you get your information but i dont know any id people who include nonid as part of their belief systemlets do this sir lets bring it home to where we live if the human body is not an intelligent design then you tell me what is the definition for an intelligent designwhat is a intelligent design and why is your example an intelligent design   simple straight forward questionwhat is your simple straight forward answer                   bet you cant do it,0,Attack,C,0,0,1,,
270,If UKIP is really the best our country can do for an alternative then we are all doomed.,"The Labour candidate Emma Lewell-Buck won the South Shields contest with 12,493 votes - the vote was triggered by the resignation of former Labour foreign secretary David Miliband as an MP.",2,No Relation,C,0,0,1,,
1085,The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,"Mr Farage is understood to have fallen out with the main author of the manifesto, MEP David Campbell Bannerman, who has subsequently rejoined the Conservative Party.",2,No Relation,C,0,0,1,,
1507,It's a protest vote because (most) people know that UKIP will never net in power.,"I have absolutely no sympathy for the rent-a-mob protesters, the Swampies and the Occupy Movement and the anti-capitalists and eco-freaks who have sought to hijack the Balcombe protest, he said to cheers from supporters.",2,No Relation,C,0,0,1,,
624,If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,"According to accounts for 2009, filed to the Electoral Commission, UKIP raised Â£1,221,422 and spent Â£1,201,617 on campaigning.",2,No Relation,C,0,0,1,,
2393,on pandasthumb nick matzke whose contributions to dover v kitzmiller were instrumental in the stunning defeat of intelligent design and whose contributions to exposing the fallacies in behes arguments as well as the extent of ignorance of science amongst id proponents has caused much concern amongst id proponents so much that in general they have chosen to pretend in a typical creationist fashion that matzkes arguments do not exist,i read the entire article,0,Attack,C,1,0,0,,
775,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,"Asked about UKIP's future, Mr Titford said he was convinced the party would build on existing support to become a significant force in the British political landscape.",1,Support,C,0,1,0,,
