orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance,relevance human labeled
1810,evolution is basically common sense once you put down your bible and get out of the church,evolution really is true but as we all know the main reason of how we evolve is because of god our lord,1,Support,B,0,1,,,
2353,among the best for sure,yes i agree on that,1,Support,B,0,1,,,
1360,bowmanmore on the aclus rubber stamped ruling by a practicing attorneynothing wrong with quoting from a well argued submission by the aclubowmanthat said none of this relates to the id ruling since the board members were not id advocates except perhaps superficially,nothing wrong with quoting from a well argued submission by the aclu,0,Attack,B,0,1,,,
381,"If you want an insight into just how mad and bad UKIP are, go and read what their members, candidates and supporters write on the Telegraph.","The UK Independent Party says it is the only party which will pull the UK out of the European Union, a vital process according to them.",0,Attack,B,1,0,,,
1397, i have been a christian most of my life and the ten years i lived outside the community was hell on earth,poblic schools are not to promote   religion  ,1,Support,B,1,0,,,
1391,einsteinit was of course a lie what you read about my religious convictions a lie which is being systematically repeated,i never said anything about einsteins religious convictions,0,Attack,B,1,0,,,
1445,how do we observe   evolution   occurring i do not see one creature evolving into another one,when i read casey luskins article he made some very good points,0,Attack,B,0,1,,,
163,"I would say it's the anti-ukip brigade who have no substance to their argument (or facts), they simply shout ""racist"" with nothing to substantiate this slur, or become crude and insulting.","The 2009 poll saw UKIP's total grow to 13 seats, pushing Labour into third place with 16% of the vote.",1,Support,B,0,1,,,
261,"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.","But judging from recent opinion polls UKIP's wider policies - grammar schools, curbing immigration and opposing gay marriage - seem to have struck a chord with disenchanted voters from the big three.",0,Attack,B,0,1,,,
2185,to travel along the logic of the singularity expanding it is obvious that the singularity is what we have today,yes in a way we are in the same thing that existed way back then it has just expanded since then so its much bigger now,1,Support,B,0,1,,,
75,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,The anti-EU party also came second in the last European elections in 2009.,1,Support,B,0,1,,,
2601,rarely have i watched and rewatched a movie with such spectacular cinematography,agree completely the action scenes are unparalleled as time has gone on and ive rewatched the film over the years i realise just how exceptional the action scenes truly are,1,Support,B,0,1,,,
2258,limassol no doubt about it it has the most beautiful beaches and the most fun places to visit,i disagree about the most beautiful beaches part,0,Attack,B,1,0,,,
360,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"There are those, UKIP, thinking backwardly, saying we should turn our backs on the world and on our wider obligations, that we should cut ourselves off from influential organisations in the belief that we can go it alone.",1,Support,B,0,1,,,
449,"The sooner we are out of the EU, the sooner we can start making this country great again.","He said the UK should quit the EU, with the referendum being moved forward.",1,Support,B,0,1,,,
1970, i am a christian and i do believe in evolution because there are quite an amount of amazing proofs for it, well to begin with there is a lot of strong evidence to support evolution the discovery of dna the discovery of fossils and primitive primates etc,1,Support,B,0,1,,,
359,UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,"UKIP, which campaigns for the UK to leave the European Union, averaged 25% of the vote in the wards where it was standing in Thursday's elections and won more than 140 seats, its best ever result.",1,Support,B,0,1,,,
1469,but its more than we dont understand thus designed,i am fast drawing to the conclusion that this discussion will never end,0,Attack,B,1,0,,,
384,"I would say it's the anti-ukip brigade who have no substance to their argument (or facts), they simply shout ""racist"" with nothing to substantiate this slur, or become crude and insulting.","In an interview with The Times, Mr Farage accepted UKIP had struggled to attract talent in its early days, ofte ending up with members holding questionable views.",0,Attack,B,1,0,,,
1909, i do believe in creationism, read my comments and you will truly see the mistake and stupidity in evolution,1,Support,B,0,1,,,
2477,We should create a United Nations standing army,A United Nations standing army renders the United Nations a de facto state but without a territory or a population,0,Attack,B,1,0,,,
1660,the author seems to thing there is no extrabiblical evidence of a young earth,all of those socalled evidences have been debunked by real scientists with real degrees and have true understanding of science,0,Attack,B,0,1,,,
1780,now creationism to me makes much more sense,ok so youre saying since youve never seen an ape which is the wrong animal again evolve into a human and never seen god create a human god wins this debate so just because we havent proven were from chimpanzees gives grounds to say god made us theres a huger spectrum out there,0,Attack,B,1,0,,,
2392,the best way to protect Scottish interests in the EU is to vote for independence,Scottish independence might be a faster route out of the EU than a referendum,0,Attack,B,1,0,,,
1217,having been asked to contribute a discussion of the anthropic principle for a colloquium on cosmology i would start by recalling that although its original formulation  was motivated by a problem of cosmology diracs and although many of its most interesting subsequent applications such as the recent evaluation  of the dark energy density in the universe have also been concerned with large scale global effects the principle for which i introduced the term anthropic is not intrinsically cosmological but just as relevant on small local scales as at a global level,in my discussions with island i have come to the conclusion that i was mistaken in calling island an id supporter,1,Support,B,1,0,,,
2301,i think nokia is reaching its end unless it adopts android,if windows gets their act together i do believe that nokia has one more chance at a comeback,0,Attack,B,1,0,,,
1022,the name intelligent design is itself a hoax,the name intelligent design is itself a hoax,0,Attack,B,0,1,,,
2314,i believe he overused the hero type of comic movies,i totally agree but do you not think that this is a characteristic that distinguishes all of tarantinos characters the exaggerated behavior,1,Support,B,0,1,,,
1857,once again generalizing on an unfair term,we do seem to be arguing past each other and i will apologize for some of that,1,Support,B,0,1,,,
1587,read genesis chapter ,im going to ask both creationists and evolutionists to look at the following with a completely open mind for just one minute,0,Attack,B,0,1,,,
638,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,UKIP leader Nigel Farage said the UK had no real control over either the number or the type of migrants that were settling from elsewhere in the EU.,1,Support,B,0,1,,,
285,"UKIP are an independent party and have shown that their appeal is broad, making big dents in staunchly Labour voting areas as well as the recent bi-election successes.",UKIP's deputy leader Paul Nuttall said the performance - which followed the party's second place in March's Eastleigh by-election - showed it was on an upward trajectory.,1,Support,B,0,1,,,
1681,why should we just stop  why not keep trying to understand the universe  i could never imagine being satisfied with a god did it,there are some things human beings were not meant to understand because the god who created this universe is a being who is greater than all of his creation,0,Attack,B,1,0,,,
45,"UKIP are a fairly right wing group as I'm sure will become clear when they actually produce some policies other than the ""its all the eu's"" fault.","But some pundits believe UKIP to be on course to win next year's European elections, beating the Conservatives into second place.",0,Attack,B,1,0,,,
1346,after some diversions to point out that augustine himself held some inconsistent positions tj finally comes to the quote i providedtji understand what he is saying but for this to be valid the unbeliever has to accurate in what he believes,so tj you seem to have made quite a few foolish arguments how familiar are you with augustinetj  well i know that he believed the earth was created instantaneously not progressively and was according to scripture less than  years old,0,Attack,B,0,1,,,
736,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,Sir Menzies Campbell suggested the government was worried about a political backlash amid public concerns about immigration levels in general.,1,Support,B,0,1,,,
202,"Even a UKIP European candidate, Janice Atkinson, another ex-Tory, admits leaving the EU would be problematic.","Speaking on The World At One Nigel Farage, leader of the UKIP party, told presenter Shaun Ley that he believes that UKIP are offering a real alternative, and leaving the EU is at the heart of it.",0,Attack,B,1,0,,,
818,UKIP will not improve public services.,"As well as campaigning against wind farms and increased migration, which UKIP claims is placing a strain on housing and public services, the party has three overarching polices for councils across England.",0,Attack,B,1,0,,,
1117,behe claims that that is not the sort of process one needs to build complex molecular systems,i dont follow dr,0,Attack,B,1,0,,,
343,"The People's Army is on the march and UKIP will get Britain back from the Liblabcon, Establishment and MSM political abusers of our country.","Former TV Apprentice Katie Hopkins, from the new I Want a Referendum Party, claimed UKIP talked a lot, but did not deliver, and said her group was looking for cross-party support.",0,Attack,B,1,0,,,
861,"UKIP are an independent party and have shown that their appeal is broad, making big dents in staunchly Labour voting areas as well as the recent bi-election successes.",As one UKIP member said to me - if this is a protest vote it's a bloody big protest.,1,Support,B,0,1,,,
2416,We should grant politicians immunity from prosecution,Seeing a politician put on trial hurts the integrity of their office,1,Support,B,0,1,,,
1580,k ,why do we even ask this question  people evolution is a fact   science   measures facts,0,Attack,B,1,0,,,
795,"On voting day, this week the vast majority of the British public will not vote for UKIP.",UKIP has won 42 seats so far and is averaging 26 per cent of the vote in the wards where it is standing.,0,Attack,B,1,0,,,
1779,theres no point arguing against evolution when you dont understand it in the first place,now creationism to me makes much more sense,0,Attack,B,1,0,,,
1204,we must be prepared to take account  of the fact that our location in the universe is necessarily privileged to the extent of being compatible with our existence as observersand even that formulation has been taken apart by rudolf haller in his book nonexistence and predicationunderstanding is the first step towards formulating a workable hypothesis and popularization thereof,science of course has tested the principle even though for a long time it stood as an assumption,1,Support,B,0,1,,,
1459,idnetto comment on whether id has merit or not it is minimally necessary that people be properly informed of the arguments involved,lets talk about cricks statement biologist must constantly keep in mind that what they see was not designed but rather evolved,0,Attack,B,0,1,,,
2374,i think nokia will rise after merging with microsoft,good point they will need to work hard to rebuild their reputation of making reliable and quality phones though,1,Support,B,0,1,,,
1202,   httpwww,the wmap data does not indicate we are at the center of the universe nor does the goldilock enigma really predict such,1,Support,B,1,0,,,
441,UKIP is not at all taking into account the financial effects of leaving the EU: Europe is the main market for the UK. ,"Over three million jobs in this country, directly or indirectly, depend on us being in the EU, so that is a big choice.",1,Support,B,0,1,,,
1728,a six day creation is a literal interpretation of genesis but it is not the only literal interpretation,an appeal to one narrow religious text isnt very persuasive,1,Support,B,1,0,,,
556,UKIP is leveraging on the frustration of a certain stratum of society (white working class and male) in order to gain power.,"It is not just about UKIP it's that the British people are as interested and concerned about Europe, as they are about the economy, as they are about immigration.",0,Attack,B,1,0,,,
