orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
2565,its because you have a low attention span and can only handle films with hyperbolic actingaction and constant fireworksexplosions,seriously when people dont like slow films there are always people that say you are incompetent and only like big explosions and big special effects this film tried too hard to be something it wasnt,0,Attack,A,1,,,
1326,yes you are right,tjthe government report on the issue validates the charges against the smithsonian institute,0,Attack,A,0,,,
1679,if the sevenday week is relevant shouldnt the names of the days be relevant as well specifically the days named after pagan godsodins day thors day freyas day etc,human beings added names to the days of week they were originally and simply numbers,0,Attack,A,1,,,
2618,did anybody else find the twist a bit silly i did it was shocking and unexpected alright but also so random ,i heard great things about old boy but when i finally finished watching it the ending just seemed like a forced plot twist to make the movie dark and edgy,1,Support,A,0,,,
2540,We should allow voting at 16 in European Parliament elections,EU elections would put young people off voting,0,Attack,A,1,,,
2215,is not it amazing how quickly creationists will accept natural selection and superfast evolution when it supports their beliefs,another of my favorites is how they loudly criticize radiometric dating most commonly radiocarbon dating because they know no other kind then shout from the rooftops that radiometric dating confirms the genuineness of two tousand year old manuscripts,1,Support,A,0,,,
1346,after some diversions to point out that augustine himself held some inconsistent positions tj finally comes to the quote i providedtji understand what he is saying but for this to be valid the unbeliever has to accurate in what he believes,so tj you seem to have made quite a few foolish arguments how familiar are you with augustinetj  well i know that he believed the earth was created instantaneously not progressively and was according to scripture less than  years old,0,Attack,A,1,,,
26,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,"UKIP gained 136 county councillors in England's local elections, with the Lib Dems losing 106.",1,Support,A,0,,,
1641,i do not believe in science,all this is hard to understand,0,Attack,A,0,,,
450,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.",But Dr North does have other reservations about Nigel Farage - including what he sees as his lack of political acumen.,0,Attack,A,1,,,
418,"As far as immigration is concerned all Ukip want is a level playing field for non EU migrants and to control the numbers so, if anything, Ukip are too soft on immigration.","Mr Farage will tell members at the conference in London that, by the 2015 general election, UKIP will overtake the Lib Dems in terms of its support base.",1,Support,A,0,,,
2121,nobody refused to treat her the first hospital just flat out misdiagnosed her,they were not insured they could not get in for treatment without insurance both were preventable deaths,0,Attack,A,1,,,
2244,the only certain answer is that no one is able to know that,not entirely true,0,Attack,A,1,,,
2654,i turned this movie off halfway through because i was bored out of my skull then i come here and its got a high rating granted its got a good storyline good acting nice cinematography but somehow still managed to bore me to tears,dude you didnt even finish the movie some films require more than one viewing to sink in its called art and if you arent patient enough to let something work its magic youll never progress beyond the most instantly gratifying motion pictures,0,Attack,A,1,,,
1495,while i did feel for some time that id had merit i also must admit that i believed for some time that it was religious due to those early pandas drafts,i changed my mind and felt somewhat angry when i realized just what those early drafts meantyou mean you accepted the attempt to reconcile the early drafts while ignoring the facts sadly you seem to have fallen victim of di propaganda,0,Attack,A,1,,,
826,UKIP will continue to grow as will the arrogance of the other parties.,Small parties have a habit of disintegrating into internal warfare or being wiped out by the vagaries of the electoral system and political fashion - British politics has seen a few come and go over the years.,0,Attack,A,0,,,
2162,these so called pro lifers do not care if women die because of forced pregnancies,of course they do not care being selfish is a cornerstone of who they are they think that all women are invisible,1,Support,A,0,,,
717,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,UKIP said leaving the EU was the only way to fully take control of the UK's borders.,1,Support,A,0,,,
1793,i agreed with you up until reasonable doubt,therefore your usurpation of supposed assumption of stated opinion cannot be proven or supported by evidence but is not substantial enough to answer the question specifically,1,Support,A,1,,,
2053,i can appreciate this slant however i think that a true feminist approach would be to support women who want their pregnancies by finding solutions to the reasons they feel an abortion would be their best choice,that is not something you can really blame on the pro life movement in fact a lot of effort in the pro life movement does go into helping single mothers,0,Attack,A,1,,,
